,curso,regime,Media_Nota
135,Física,Diurno,163.44
136,Educação Social,Diurno,137.67
137,Estudos Portugueses e Ingleses,Diurno,152.99
138,Engenharia Eletrotécnica e de Computadores,Diurno,154.25
139,Estudos Portugueses e Espanhóis,Diurno,137.72
140,Gestão do Património Cultural,Diurno,140.89
141,Sociologia,Diurno,150.42
142,Economia,Diurno,170.96
143,Biotecnologia Alimentar,Diurno,124.68
144,Engenharia Agronómica,Diurno,139.41
145,Gestão das Atividades Turísticas,Diurno,152.2
146,Matemática Aplicada e Tecnologias Digitais,Diurno,144.39
147,Artes Visuais,Diurno,155.84
148,Saúde Digital,Diurno,143.44
149,Direito,Diurno,174.08
150,Genética e Biotecnologia,Diurno,142.07
151,Gestão de Marketing,Diurno,151.54
152,Contabilidade e Administração,Pós-Laboral,143.98
153,Artes Visuais e Tecnologias Artísticas,Diurno,168.98
154,Desenvolvimento de Software e Aplicações,Diurno,149.49
155,Ciências Biomédicas,Diurno,165.52
156,Dietética e Nutrição,Diurno,143.43
157,Património Cultural e Arqueologia,Diurno,135.2
158,Línguas e Relações Empresariais,Diurno,158.12
159,Engenharia Informática e Multimédia,Diurno,142.44
160,Marketing e Comunicação Empresarial,Diurno,151.76
161,Gestão de Empresas,Pós-Laboral,143.05
162,Enfermagem,Diurno,150.2
163,Ciências do Desporto,Diurno,150.41
164,Arquitetura,Diurno,176.24
165,Fisioterapia,Diurno,161.36
166,Contabilidade,Pós-Laboral,137.98
167,Osteopatia,Diurno,153.44
168,Gestão de Atividades Turísticas,Pós-Laboral,123.79
169,Zootecnia,Diurno,132.2
170,Ortoprotesia,Diurno,143.76
171,Gestão das Atividades Turísticas,Pós-Laboral,129.57
172,Ciências Agrárias,Diurno,128.22
173,Computação Criativa e Realidade Virtual,Diurno,145.29
174,Imagem Animada,Diurno,156.55
175,Línguas e Culturas Estrangeiras,Diurno,166.24
176,Educação Musical,Diurno,149.29
177,Gestão da Restauração e Catering,Diurno,140.34
178,Saúde Digital e Inovação Biomédica,Diurno,182.32
179,Engenharia Mecânica Computacional,Diurno,165.8
180,Engenharia Física,Diurno,167.81
181,Gestão (ensino em Inglês),Diurno,177.15
182,Biomecânica,Diurno,134.69
183,Ciências da Linguagem,Diurno,149.66
184,Direção e Gestão Hoteleira,Pós-Laboral,136.56
185,Gestão Industrial,Diurno,130.02
186,Medicina Veterinária (Preparatórios),Diurno,158.6
187,Desporto e Atividade Física,Diurno,139.25
188,Geografia e Planeamento Regional,Diurno,147.0
189,Prótese Dentária,Diurno,150.59
190,Ciências da Educação,Diurno,152.79
191,Tecnologias Digitais e Segurança de Informação,Diurno,147.15
192,Guias de Natureza e Património,Diurno,134.31
193,Gestão Marinha e Costeira,Diurno,127.02
194,Ortóptica,Diurno,141.84
195,"Engenharia Informática, Redes e Telecomunicações",Diurno,139.86
196,Ciências Biomédicas Laboratoriais,Diurno,157.8
197,Design de Comunicação,Diurno,165.7
198,Relações Internacionais,Diurno,169.79
199,Negócios Internacionais,Diurno,150.27
200,Gestão do Lazer e Animação Turística,Pós-Laboral,140.38
201,Educação Básica,Diurno,149.05
202,"Comunicação, Cultura e Organizações",Diurno,145.93
203,Estudos Artísticos,Diurno,161.68
204,Gestão Turística,Pós-Laboral,132.53
205,Ciências do Ambiente,Diurno,136.34
206,"Política, Economia e Sociedade",Diurno,157.32
207,Secretariado,Diurno,128.48
208,Engenharia Civil e do Ambiente,Diurno,136.95
209,Matemática Aplicada e Computação,Diurno,187.04
210,Finanças,Diurno,158.81
211,Serviço Social,Diurno,141.97
212,Serviço Social,Pós-Laboral,137.59
213,Gestão e Informática,Diurno,134.08
214,Ciências Musicais,Diurno,149.57
215,Medicina,Diurno,184.93
216,Contabilidade e Fiscalidade,Diurno,133.94
217,Matemática Aplicada e Ciência de Dados,Diurno,140.18
218,Ciências Empresariais,Pós-Laboral,150.98
219,Psicologia,Diurno,170.2
220,Engenharia Aeroespacial,Diurno,190.5
221,Tecnologias do Petróleo,Diurno,128.65
222,Arquitetura Paisagista,Diurno,157.46
223,Tecnologias Digitais Educativas,Diurno,142.03
224,Ciências da Educação e da Formação,Diurno,139.88
225,Gestão e Administração Pública,Diurno,128.86
226,Design Multimédia,Diurno,151.86
227,Comunicação e Multimédia,Diurno,142.17
228,Património Cultural,Diurno,130.51
229,Secretariado de Administração,Diurno,126.13
230,Matemática Aplicada à Tecnologia e à Empresa,Diurno,149.99
231,Engenharia Eletromecânica,Diurno,147.75
232,Tecnologias para a Educação STEAM,Diurno,135.04
233,Tecnologias Digitais e Inteligência Artificial,Diurno,155.52
234,Matemática e Aplicações,Diurno,155.5
235,Biotecnologia Medicinal,Diurno,160.41
236,Arqueologia,Diurno,152.2
237,Design de Ambientes,Diurno,156.8
238,Engenharia Automóvel,Diurno,143.23
239,Educação Física e Desporto,Diurno,150.95
240,Ciências da Cultura,Diurno,128.44
241,Educação e Formação,Diurno,151.1
242,Secretariado e Comunicação Empresarial,Diurno,146.52
243,Produção Alimentar em Restauração,Pós-Laboral,119.77
