,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos,total_colocados
469,9921,Gestão das Atividades Turísticas,3139,Instituto Politécnico do Porto,Escola Superior de Hotelaria e Turismo,0,0,198,33
470,9853,Educação Básica,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,339,72
471,9129,Engenharia Zootécnica,3041,Instituto Politécnico de Bragança,Escola Superior Agrária de Bragança,0,0,2,0
472,L217,Engenharia de Computadores e Informática,300,Universidade de Aveiro,D,0,0,446,100
473,L140,Gestão Pública,3031,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,0,0,254,41
474,9353,Educação,1000,Universidade do Minho,D,0,0,367,52
475,9085,Enfermagem Veterinária,3041,Instituto Politécnico de Bragança,Escola Superior Agrária de Bragança,0,0,173,42
476,9492,Tradução e Interpretação: Português/Chinês - Chinês/Português,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,60,26
477,8149,Dietética e Nutrição,7035,Universidade do Algarve,Escola Superior de Saúde,0,0,143,28
478,9081,Economia,904,Universidade Nova de Lisboa,Faculdade de Economia,0,0,1339,196
479,9104,Engenharia e Gestão Industrial,300,Universidade de Aveiro,D,0,0,455,74
480,9219,Psicologia,507,Universidade de Coimbra,Faculdade de Psicologia e de Ciências da Educação,0,0,1392,131
481,8143,Ortóptica,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,153,22
482,9015,Bioquímica,1000,Universidade do Minho,D,0,0,466,61
483,9181,História,1000,Universidade do Minho,D,0,0,321,43
484,9123,Engenharia Mecânica,300,Universidade de Aveiro,D,0,0,635,101
485,8494,Design de Produto,1000,Universidade do Minho,D,0,0,185,33
486,9013,Biologia Marinha,520,Universidade de Coimbra (Campus Figueira da Foz),D,0,0,92,12
487,9504,Fisioterapia,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,558,63
488,L067,Fisiologia Clínica,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,274,48
489,9006,Arqueologia,1000,Universidade do Minho,D,0,0,98,20
490,9205,Marketing,1000,Universidade do Minho,D,0,0,546,45
491,9041,Ciências do Mar,300,Universidade de Aveiro,D,0,0,205,30
492,9890,Terapia da Fala,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,244,37
493,9089,Engenharia Civil,1000,Universidade do Minho,D,0,0,318,34
494,9147,Gestão,904,Universidade Nova de Lisboa,Faculdade de Economia,0,0,1449,296
495,8427,Educação,1000,Universidade do Minho,D,1,0,116,25
496,9164,Gestão e Administração Hoteleira,3139,Instituto Politécnico do Porto,Escola Superior de Hotelaria e Turismo,0,0,294,45
497,9002,Administração Pública,1000,Universidade do Minho,D,0,0,302,41
498,9785,Negócios Internacionais,1000,Universidade do Minho,D,0,0,157,34
499,L188,Ciência de Dados,906,Universidade Nova de Lisboa,Instituto Superior de Estatística e Gestão de Informação,0,0,285,45
500,8184,Optometria e Ciências da Visão,1000,Universidade do Minho,D,0,0,62,23
501,9192,Línguas Aplicadas,1000,Universidade do Minho,D,0,0,342,51
502,9089,Engenharia Civil,300,Universidade de Aveiro,D,0,0,234,25
503,9119,Engenharia Informática,1000,Universidade do Minho,D,0,0,900,170
504,9146,Geologia,1000,Universidade do Minho,D,0,0,65,20
505,9851,Desporto e Bem-Estar,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,318,52
506,8259,Sistemas e Tecnologias de Informação,906,Universidade Nova de Lisboa,Instituto Superior de Estatística e Gestão de Informação,0,0,274,43
507,9056,Contabilidade,1000,Universidade do Minho,D,0,0,336,35
508,9500,Enfermagem,7005,Instituto Politécnico de Beja,Escola Superior de Saúde,0,0,183,36
509,8358,Direito,1000,Universidade do Minho,D,1,0,219,16
510,L221,Engenharia Aeroespacial,300,Universidade de Aveiro,D,0,0,297,50
511,9123,Engenharia Mecânica,1000,Universidade do Minho,D,0,0,553,83
512,L066,Imagem Médica e Radioterapia,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,486,61
513,L202,Engenharia de Automação Industrial,300,Universidade de Aveiro,D,0,0,133,40
514,9012,Biologia e Geologia,300,Universidade de Aveiro,D,0,0,201,27
515,9147,Gestão,1000,Universidade do Minho,D,0,0,792,94
516,9853,Educação Básica,1000,Universidade do Minho,D,0,0,383,62
517,9113,Engenharia Física,1000,Universidade do Minho,D,0,0,184,35
518,L099,Comunicação e Media,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,236,40
519,L223,Engenharia Computacional,300,Universidade de Aveiro,D,0,0,124,25
520,L112,Proteção Civil e Gestão do Território,1000,Universidade do Minho,D,0,0,86,21
521,9455,Engenharia Biomédica,300,Universidade de Aveiro,D,0,0,289,35
522,9990,Fiscalidade,3031,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,1,0,88,20
523,L066,Imagem Médica e Radioterapia,7035,Universidade do Algarve,Escola Superior de Saúde,0,0,182,30
524,9397,Ciências da Computação,1000,Universidade do Minho,D,0,0,321,77
525,9146,Geologia,300,Universidade de Aveiro,D,0,0,108,20
526,9351,Ciências Biomédicas,300,Universidade de Aveiro,D,0,0,402,77
527,9240,Sociologia,1000,Universidade do Minho,D,0,0,321,57
528,9078,Direito,1000,Universidade do Minho,D,0,0,1175,110
529,9016,Biotecnologia,300,Universidade de Aveiro,D,0,0,295,58
530,L187,Gestão e Planeamento em Turismo,300,Universidade de Aveiro,D,0,0,106,26
531,9122,Engenharia Informática e Telecomunicações,3186,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Lamego,0,0,34,9
