,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos,total_colocados
681,9853,Educação Básica,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,421,56
682,8363,Administração Pública e Políticas do Território,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,1,0,168,37
683,9229,Relações Internacionais,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0,0,458,70
684,L275,Informática e Multimédia,3053,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,0,0,15,2
685,L009,Ciências Florestais e Recursos Naturais,3061,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,0,0,18,3
686,L204,Engenharia Biomédica e Biofísica,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,273,43
687,9146,Geologia,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,292,74
688,9147,Gestão,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,244,55
689,8525,Design de Produto - Cerâmica e Vidro,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,0,0,132,25
690,9197,Línguas e Relações Internacionais,1107,Universidade do Porto,Faculdade de Letras,0,0,769,80
691,9238,Serviço Social,3121,Instituto Politécnico de Portalegre,Escola Superior de Educação e Ciências Sociais,0,0,145,40
692,L096,Engenharia Geoespacial,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,35,7
693,9157,Gestão de Recursos Humanos,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,160,46
694,9242,Solicitadoria,3023,Instituto Politécnico de Beja,Escola Superior de Tecnologia e de Gestão,0,0,207,45
695,9652,Comunicação e Relações Públicas,3091,Instituto Politécnico da Guarda,"Escola Superior de Educação, Comunicação e Desporto",0,0,150,37
696,9707,Ciências do Desporto,1111,Universidade do Porto,Faculdade de Desporto,0,0,432,123
697,9104,Engenharia e Gestão Industrial,3053,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,0,0,3,1
698,9500,Enfermagem,1320,Universidade da Madeira,Escola Superior de Saúde,0,0,109,26
699,9254,Turismo,3054,Instituto Politécnico de Castelo Branco,Escola Superior de Gestão de Idanha-a-Nova,0,0,76,15
700,9123,Engenharia Mecânica,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,202,45
701,9205,Marketing,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,168,32
702,L188,Ciência de Dados,1000,Universidade do Minho,D,0,0,289,33
703,9104,Engenharia e Gestão Industrial,1519,Universidade de Lisboa,Instituto Superior Técnico (Tagus Park),0,0,449,81
704,8258,Arquitetura Paisagista,1515,Universidade de Lisboa,Instituto Superior de Agronomia,0,0,202,21
705,9086,Engenharia Agronómica,1515,Universidade de Lisboa,Instituto Superior de Agronomia,0,0,118,46
706,9121,Engenharia Informática e de Computadores,1519,Universidade de Lisboa,Instituto Superior Técnico (Tagus Park),0,0,505,90
707,9074,Design Industrial,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,0,0,170,28
708,9254,Turismo,3087,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",0,0,103,25
709,9019,Ciência Política,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0,0,459,45
710,L003,Zootecnia,3061,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,0,0,41,8
711,8307,Artes Visuais e Tecnologias,3112,Instituto Politécnico de Lisboa,Escola Superior de Educação,0,0,371,86
712,9089,Engenharia Civil,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,61,14
713,9056,Contabilidade,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,86,8
714,L209,Engenharia Eletrotécnica e de Computadores,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,116,19
715,L229,Engenharia de Polímeros,1000,Universidade do Minho,D,0,0,153,20
716,8102,Administração Pública,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,1,0,165,41
717,9191,Jornalismo,3113,Instituto Politécnico de Lisboa,Escola Superior de Comunicação Social,0,0,730,61
718,9119,Engenharia Informática,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,122,18
719,9002,Administração Pública,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0,0,379,68
720,9003,Agronomia,3061,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,0,0,49,11
721,9448,Antropologia,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0,0,227,41
722,9885,Engenharia Informática,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,1,0,90,21
723,L209,Engenharia Eletrotécnica e de Computadores,3083,Universidade do Algarve,Instituto Superior de Engenharia,0,0,40,11
724,9113,Engenharia Física,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,230,40
725,9157,Gestão de Recursos Humanos,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0,0,308,66
726,9238,Serviço Social,1516,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0,0,228,55
727,9853,Educação Básica,3091,Instituto Politécnico da Guarda,"Escola Superior de Educação, Comunicação e Desporto",0,0,148,35
728,9231,Relações Públicas e Comunicação Empresarial,3113,Instituto Politécnico de Lisboa,Escola Superior de Comunicação Social,0,0,602,59
729,9119,Engenharia Informática,3023,Instituto Politécnico de Beja,Escola Superior de Tecnologia e de Gestão,0,0,84,18
730,9563,Desporto,3022,Instituto Politécnico de Beja,Escola Superior de Educação,0,0,173,33
731,L034,"Desporto, Condição Física e Saúde",3091,Instituto Politécnico da Guarda,"Escola Superior de Educação, Comunicação e Desporto",0,0,187,28
732,L214,Engenharia da Energia e Ambiente,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,104,21
733,9350,Ciência e Tecnologia dos Alimentos,3021,Instituto Politécnico de Beja,Escola Superior Agrária,0,0,4,0
734,9005,Animação Sociocultural,3112,Instituto Politécnico de Lisboa,Escola Superior de Educação,0,0,197,29
735,L015,Tecnologia Alimentar,3061,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,0,0,63,8
736,9002,Administração Pública,3054,Instituto Politécnico de Castelo Branco,Escola Superior de Gestão de Idanha-a-Nova,0,0,76,18
737,L283,Ciência de Dados e Inteligência Artificial,3092,Instituto Politécnico da Guarda,Escola Superior de Tecnologia e Gestão,0,0,44,8
738,L257,Design de Espaços,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,0,0,256,27
739,9254,Turismo,3023,Instituto Politécnico de Beja,Escola Superior de Tecnologia e de Gestão,0,0,89,21
740,9209,Matemática,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,300,50
741,9111,Engenharia Eletrotécnica e das Telecomunicações,3053,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,0,0,2,0
742,9141,Física,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,167,40
743,L147,Estudos Orientais: Estudos Chineses e Japoneses,1000,Universidade do Minho,D,0,0,107,40
744,L134,Mediação Artística e Cultural,3112,Instituto Politécnico de Lisboa,Escola Superior de Educação,0,0,74,28
745,9011,Biologia,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,897,174
746,9540,Bioengenharia,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,87,14
747,9853,Educação Básica,3022,Instituto Politécnico de Beja,Escola Superior de Educação,0,0,118,32
748,9381,Estatística Aplicada,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,161,30
749,9085,Enfermagem Veterinária,3061,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,0,0,237,30
750,9853,Educação Básica,3112,Instituto Politécnico de Lisboa,Escola Superior de Educação,0,0,502,90
751,9226,Química Tecnológica,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,80,12
752,9010,Audiovisual e Multimédia,3022,Instituto Politécnico de Beja,Escola Superior de Educação,0,0,81,32
753,9011,Biologia,1309,Universidade da Madeira,Faculdade de Ciências da Vida,0,0,62,20
754,L155,Gestão Sustentável das Cidades,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,86,31
755,8083,Ciclo Básico de Medicina,1309,Universidade da Madeira,Faculdade de Ciências da Vida,0,0,388,38
756,L095,Gastronomia,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,97,20
757,9773,Jornalismo e Comunicação,3121,Instituto Politécnico de Portalegre,Escola Superior de Educação e Ciências Sociais,0,0,145,41
758,9087,Engenharia Alimentar,1515,Universidade de Lisboa,Instituto Superior de Agronomia,0,0,68,13
759,9123,Engenharia Mecânica,3083,Universidade do Algarve,Instituto Superior de Engenharia,0,0,69,14
760,9089,Engenharia Civil,3053,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,0,0,4,1
761,9054,Comunicação Social,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,336,38
762,L226,Informática Industrial,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,100,30
763,L078,Criminologia e Justiça Criminal,1000,Universidade do Minho,D,0,0,741,35
764,L178,Turismo em Espaços Rurais e Naturais,3061,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,0,0,34,10
765,9717,Comunicação Organizacional,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,281,43
766,L079,Tecnologias de Informação,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,285,65
767,9813,Medicina,1000,Universidade do Minho,D,0,0,934,122
768,9774,Língua Gestual Portuguesa,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,81,31
769,8126,Design Gráfico e Multimédia,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,1,0,103,30
770,9143,Geografia,1107,Universidade do Porto,Faculdade de Letras,0,0,327,70
771,9912,Engenharia Eletrónica,1519,Universidade de Lisboa,Instituto Superior Técnico (Tagus Park),0,0,147,24
772,9455,Engenharia Biomédica,3064,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,0,0,106,24
773,9119,Engenharia Informática,3053,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,0,0,142,32
774,9089,Engenharia Civil,3083,Universidade do Algarve,Instituto Superior de Engenharia,0,0,33,7
775,9011,Biologia,1515,Universidade de Lisboa,Instituto Superior de Agronomia,0,0,254,38
776,L024,Tecnologia e Gestão Ambiental,3061,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,0,0,60,9
777,9139,Filosofia,1107,Universidade do Porto,Faculdade de Letras,0,0,314,55
778,9694,Ciência da Informação,1107,Universidade do Porto,Faculdade de Letras,0,0,200,47
779,9015,Bioquímica,1503,Universidade de Lisboa,Faculdade de Ciências,0,0,444,70
780,9016,Biotecnologia,3061,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,0,0,202,44
781,9898,Arte e Design,3062,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,0,0,330,33
782,9099,Engenharia do Ambiente,1515,Universidade de Lisboa,Instituto Superior de Agronomia,0,0,86,11
783,9730,Desporto de Natureza e Turismo Ativo,3145,Instituto Politécnico de Santarém,Escola Superior de Desporto de Rio Maior,0,0,72,22
784,9007,Artes Plásticas,5402,Universidade do Porto,Faculdade de Belas-Artes,0,0,426,64
785,9347,Artes Plásticas e Multimédia,603,Universidade de Évora,Escola de Artes,0,0,173,34
786,9789,Pilotagem,7105,Escola Superior Náutica Infante D. Henrique,D,0,0,147,32
787,8366,Informática e Gestão de Empresas,6800,ISCTE,Instituto Universitário de Lisboa,1,0,194,35
788,L030,Gestão Industrial e Logística,6800,ISCTE,Instituto Universitário de Lisboa,0,0,462,40
789,9015,Bioquímica,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,573,80
790,9078,Direito,911,Universidade Nova de Lisboa,Faculdade de Direito,0,0,1146,100
791,8408,Química Medicinal,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,71,14
792,9500,Enfermagem,7093,Universidade dos Açores,Escola Superior de Saúde,0,0,116,40
793,9853,Educação Básica,3181,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,0,0,205,52
794,9123,Engenharia Mecânica,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,545,109
795,9891,Design e Multimédia,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,407,74
796,9832,Farmácia Biomédica,504,Universidade de Coimbra,Faculdade de Farmácia,0,0,226,30
797,9015,Bioquímica,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,422,65
798,9223,Química,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,74,14
799,9556,Higiene Oral,7055,Instituto Politécnico de Portalegre,Escola Superior de Saúde,0,0,40,15
800,8014,Serviço Social,6800,ISCTE,Instituto Universitário de Lisboa,1,0,151,14
801,9455,Engenharia Biomédica,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,442,57
802,9113,Engenharia Física,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,190,25
803,9011,Biologia,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,554,100
804,9257,Arquitetura,6800,ISCTE,Instituto Universitário de Lisboa,0,0,501,51
805,9850,Desporto e Atividade Física,3181,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,0,0,260,37
806,9351,Ciências Biomédicas,206,Universidade do Algarve,Faculdade de Medicina e Ciências Biomédicas,0,0,158,53
807,8029,Finanças e Contabilidade,6800,ISCTE,Instituto Universitário de Lisboa,0,0,550,72
808,9885,Engenharia Informática,6800,ISCTE,Instituto Universitário de Lisboa,1,0,163,35
809,9096,Engenharia de Materiais,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,122,23
810,9113,Engenharia Física,1103,Universidade do Porto,Faculdade de Ciências,0,0,248,60
811,9257,Arquitetura,603,Universidade de Évora,Escola de Artes,0,0,293,36
812,L192,Engenharia e Ciência de Dados,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,262,40
813,9147,Gestão,3124,Instituto Politécnico de Portalegre,"Escola Superior de Tecnologia, Gestão e Design",0,0,122,43
814,9205,Marketing,3153,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,0,0,481,55
815,9808,Treino Desportivo,3145,Instituto Politécnico de Santarém,Escola Superior de Desporto de Rio Maior,0,0,280,113
816,8111,Gestão de Recursos Humanos,3153,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,1,0,184,46
817,9628,Contabilidade e Finanças,3153,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,0,1,139,30
818,9243,Teatro,603,Universidade de Évora,Escola de Artes,0,0,96,22
819,L286,Tecnologia Agro-Industrial,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,115,38
820,L118,Engenharia Eletrotécnica Marítima,7105,Escola Superior Náutica Infante D. Henrique,D,0,0,29,5
821,9089,Engenharia Civil,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,210,39
822,9147,Gestão,170,Universidade dos Açores,Faculdade de Economia e Gestão,0,0,96,45
823,9099,Engenharia do Ambiente,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,154,36
824,9104,Engenharia e Gestão Industrial,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,377,55
825,9455,Engenharia Biomédica,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,358,64
826,8067,Administração Público-Privada,502,Universidade de Coimbra,Faculdade de Direito,0,0,317,42
827,9015,Bioquímica,1103,Universidade do Porto,Faculdade de Ciências,0,0,588,92
828,9224,Química Aplicada,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,142,30
829,9119,Engenharia Informática,6800,ISCTE,Instituto Universitário de Lisboa,0,0,788,81
830,8036,Conservação - Restauro,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,181,25
831,9104,Engenharia e Gestão Industrial,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,341,57
832,9853,Educação Básica,3121,Instituto Politécnico de Portalegre,Escola Superior de Educação e Ciências Sociais,0,0,111,25
833,L308,Design de Animação,3124,Instituto Politécnico de Portalegre,"Escola Superior de Tecnologia, Gestão e Design",0,0,115,32
834,L209,Engenharia Eletrotécnica e de Computadores,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,306,66
835,9157,Gestão de Recursos Humanos,3153,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,0,0,388,54
836,9189,Informática e Gestão de Empresas,6800,ISCTE,Instituto Universitário de Lisboa,0,0,489,60
837,9209,Matemática,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,249,40
838,9238,Serviço Social,6800,ISCTE,Instituto Universitário de Lisboa,0,0,439,26
839,9926,Gestão Portuária,7105,Escola Superior Náutica Infante D. Henrique,D,0,0,143,21
840,9123,Engenharia Mecânica,3243,Instituto Politécnico de Tomar,Escola Superior de Tecnologia de Abrantes,0,0,3,1
841,9019,Ciência Política,6800,ISCTE,Instituto Universitário de Lisboa,0,0,597,42
842,9121,Engenharia Informática e de Computadores,7105,Escola Superior Náutica Infante D. Henrique,D,0,0,189,36
843,8399,Desenho,5402,Universidade do Porto,Faculdade de Belas-Artes,0,0,345,25
844,9156,Gestão de Marketing,6800,ISCTE,Instituto Universitário de Lisboa,0,0,440,41
845,9147,Gestão,6800,ISCTE,Instituto Universitário de Lisboa,0,0,1518,176
846,9119,Engenharia Informática,3124,Instituto Politécnico de Portalegre,"Escola Superior de Tecnologia, Gestão e Design",0,0,56,7
847,8109,Sociologia,6800,ISCTE,Instituto Universitário de Lisboa,1,0,182,35
848,L188,Ciência de Dados,6800,ISCTE,Instituto Universitário de Lisboa,0,0,441,61
849,L008,Atividade Física e Estilos de Vida Saudáveis,3145,Instituto Politécnico de Santarém,Escola Superior de Desporto de Rio Maior,0,0,124,25
850,9500,Enfermagem,7055,Instituto Politécnico de Portalegre,Escola Superior de Saúde,0,0,207,40
851,9089,Engenharia Civil,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,354,47
852,9819,Ciências Bioanalíticas,504,Universidade de Coimbra,Faculdade de Farmácia,0,0,174,27
853,9707,Ciências do Desporto,508,Universidade de Coimbra,Faculdade de Ciências do Desporto e Educação Física,0,0,365,123
854,9119,Engenharia Informática,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,985,170
855,9157,Gestão de Recursos Humanos,6800,ISCTE,Instituto Universitário de Lisboa,0,0,514,41
856,9123,Engenharia Mecânica,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,620,76
857,9116,Engenharia Geológica,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,44,8
858,9348,Biologia Celular e Molecular,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,360,65
859,9745,Engenharia de Máquinas Marítimas,7105,Escola Superior Náutica Infante D. Henrique,D,0,0,44,22
860,9629,Gestão da Distribuição e da Logística,3153,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,0,0,334,47
861,9254,Turismo,170,Universidade dos Açores,Faculdade de Economia e Gestão,0,0,80,24
862,9084,Educação Social,3181,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,0,0,187,64
863,9991,Gestão,3124,Instituto Politécnico de Portalegre,"Escola Superior de Tecnologia, Gestão e Design",1,0,9,1
864,9927,História Moderna e Contemporânea,6800,ISCTE,Instituto Universitário de Lisboa,0,0,191,34
865,9113,Engenharia Física,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,172,34
866,9627,Contabilidade e Finanças,3153,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,0,0,328,57
867,9763,Gestão das Organizações Desportivas,3145,Instituto Politécnico de Santarém,Escola Superior de Desporto de Rio Maior,0,0,134,23
868,8258,Arquitetura Paisagista,1103,Universidade do Porto,Faculdade de Ciências,0,0,155,25
869,9681,Artes Performativas,3181,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,0,0,27,4
870,9504,Fisioterapia,7055,Instituto Politécnico de Portalegre,Escola Superior de Saúde,0,0,129,25
871,9146,Geologia,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,137,25
872,9347,Artes Plásticas e Multimédia,3181,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,0,0,153,45
873,L167,Matemática Aplicada à Gestão do Risco,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,156,22
874,9924,Gestão de Transportes e Logística,7105,Escola Superior Náutica Infante D. Henrique,D,0,0,173,41
875,9141,Física,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,98,20
876,9257,Arquitetura,1102,Universidade do Porto,Faculdade de Arquitetura,0,0,789,124
877,9554,Ciências da Nutrição,1101,Universidade do Porto,Faculdade de Ciências da Nutrição e da Alimentação,0,0,290,65
878,9081,Economia,170,Universidade dos Açores,Faculdade de Economia e Gestão,0,0,35,7
879,9099,Engenharia do Ambiente,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,38,6
880,9141,Física,1103,Universidade do Porto,Faculdade de Ciências,0,0,149,34
881,9125,Engenharia Química,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,184,23
882,9494,Ciências Farmacêuticas,504,Universidade de Coimbra,Faculdade de Farmácia,0,0,719,212
883,9119,Engenharia Informática,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,740,150
884,9069,Design,603,Universidade de Évora,Escola de Artes,0,0,244,37
885,9930,Publicidade e Relações Públicas,3181,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,0,0,250,68
886,9078,Direito,502,Universidade de Coimbra,Faculdade de Direito,0,0,1955,340
887,9007,Artes Plásticas,3103,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,0,0,284,54
888,9630,Gestão de Sistemas de Informação,3153,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,0,0,346,69
889,9448,Antropologia,6800,ISCTE,Instituto Universitário de Lisboa,0,0,174,27
890,9126,Engenharia Química e Biológica,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,304,67
891,9070,Design de Comunicação,3124,Instituto Politécnico de Portalegre,"Escola Superior de Tecnologia, Gestão e Design",0,0,80,27
892,9240,Sociologia,6800,ISCTE,Instituto Universitário de Lisboa,0,0,441,63
893,9219,Psicologia,6800,ISCTE,Instituto Universitário de Lisboa,0,0,1437,97
894,9670,Administração de Publicidade e Marketing,3124,Instituto Politécnico de Portalegre,"Escola Superior de Tecnologia, Gestão e Design",0,0,77,31
895,L297,Comunicação Social: Jornalismo e Comunicação Empresarial,3243,Instituto Politécnico de Tomar,Escola Superior de Tecnologia de Abrantes,0,0,157,38
896,L034,"Desporto, Condição Física e Saúde",3145,Instituto Politécnico de Santarém,Escola Superior de Desporto de Rio Maior,0,0,332,91
897,9257,Arquitetura,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,400,61
898,L285,Gestão de Cidades Sustentáveis e Inteligentes,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,175,60
899,9993,Gestão da Distribuição e da Logística,3153,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,1,0,151,49
900,L231,Engenharia de Micro e Nanotecnologias,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,193,43
901,9070,Design de Comunicação,5402,Universidade do Porto,Faculdade de Belas-Artes,0,0,473,57
902,9081,Economia,6800,ISCTE,Instituto Universitário de Lisboa,0,0,1116,72
903,L189,Ciência de Dados,6800,ISCTE,Instituto Universitário de Lisboa,1,0,151,30
904,L209,Engenharia Eletrotécnica e de Computadores,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,565,166
905,9086,Engenharia Agronómica,1103,Universidade do Porto,Faculdade de Ciências,0,0,37,12
906,9054,Comunicação Social,3181,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,0,0,166,64
907,9448,Antropologia,501,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0,0,143,47
908,9209,Matemática,903,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0,0,192,25
909,9098,Engenharia de Telecomunicações e Informática,6800,ISCTE,Instituto Universitário de Lisboa,0,0,240,60
910,L143,Informática e Tecnologias Multimédia,3243,Instituto Politécnico de Tomar,Escola Superior de Tecnologia de Abrantes,0,0,8,4
911,9129,Engenharia Zootécnica,1201,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Agrárias e Veterinárias,0,0,32,8
912,L096,Engenharia Geoespacial,1103,Universidade do Porto,Faculdade de Ciências,0,0,27,3
913,L070,Criatividade e Inovação Empresarial,3134,Instituto Politécnico do Porto,Instituto Superior de Contabilidade e Administração do Porto,0,0,215,32
914,9104,Engenharia e Gestão Industrial,3135,Instituto Politécnico do Porto,Instituto Superior de Engenharia do Porto,0,0,293,40
915,9016,Biotecnologia,3105,Instituto Politécnico de Leiria,Escola Superior de Turismo e Tecnologia do Mar,0,0,130,30
916,9011,Biologia,1103,Universidade do Porto,Faculdade de Ciências,0,0,712,131
917,9131,Estudos Africanos,1506,Universidade de Lisboa,Faculdade de Letras,0,0,72,21
918,9089,Engenharia Civil,3043,Instituto Politécnico de Bragança,Escola Superior de Tecnologia e de Gestão de Bragança,0,0,9,2
919,9207,Marketing Turístico,3105,Instituto Politécnico de Leiria,Escola Superior de Turismo e Tecnologia do Mar,0,0,116,29
920,9895,Gestão do Território,3065,Instituto Politécnico de Coimbra,Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,0,0,35,7
921,9089,Engenharia Civil,1105,Universidade do Porto,Faculdade de Engenharia,0,0,673,121
922,L088,Relações Lusófonas e Língua Portuguesa,3042,Instituto Politécnico de Bragança,Escola Superior de Educação de Bragança,0,0,14,3
923,9104,Engenharia e Gestão Industrial,1105,Universidade do Porto,Faculdade de Engenharia,0,0,539,112
924,9146,Geologia,1103,Universidade do Porto,Faculdade de Ciências,0,0,191,33
925,L236,Engenharia de Minas e Geo-Ambiente,1105,Universidade do Porto,Faculdade de Engenharia,0,0,97,20
926,9112,Engenharia Eletrotécnica e de Computadores,3032,Instituto Politécnico do Cávado e do Ave,Escola Superior de Tecnologia,0,0,66,19
927,9754,Escultura,1502,Universidade de Lisboa,Faculdade de Belas-Artes,0,0,205,55
928,9096,Engenharia de Materiais,1105,Universidade do Porto,Faculdade de Engenharia,0,0,236,27
929,9072,Design de Equipamento,1502,Universidade de Lisboa,Faculdade de Belas-Artes,0,0,559,55
930,9084,Educação Social,3042,Instituto Politécnico de Bragança,Escola Superior de Educação de Bragança,0,0,203,73
931,9853,Educação Básica,3042,Instituto Politécnico de Bragança,Escola Superior de Educação de Bragança,0,0,181,72
932,L224,Engenharia Informática e Computação,1105,Universidade do Porto,Faculdade de Engenharia,0,0,730,284
933,9061,Contabilidade e Auditoria,3063,Instituto Politécnico de Coimbra,Instituto Superior de Contabilidade e Administração de Coimbra,0,0,365,76
934,9801,Solicitadoria e Administração,3063,Instituto Politécnico de Coimbra,Instituto Superior de Contabilidade e Administração de Coimbra,0,0,311,66
