,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos_1op,total_colocados_1op,proporcao_colocados
46,9761,Genética e Biotecnologia,1204,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências da Vida e do Ambiente,0,0,38,31,81.6
47,9890,Terapia da Fala,3155,Instituto Politécnico de Setúbal,Escola Superior de Saúde,0,0,18,10,55.6
48,L101,Biotecnologia Medicinal,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,37,13,35.1
49,9707,Ciências do Desporto,1204,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências da Vida e do Ambiente,0,0,159,75,47.2
50,9791,Prótese Dentária,1508,Universidade de Lisboa,Faculdade de Medicina Dentária,0,0,28,13,46.4
51,9752,Enologia,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,5,5,100.0
52,8398,Segurança Informática em Redes de Computadores,3138,Instituto Politécnico do Porto,Escola Superior de Tecnologia e Gestão,0,0,12,8,66.7
53,8109,Sociologia,902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,1,0,7,3,42.9
54,9011,Biologia,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,15,14,93.3
55,L117,Matemática Aplicada à Tecnologia e à Empresa,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,14,7,50.0
56,9089,Engenharia Civil,1307,Universidade da Madeira,Faculdade de Ciências Exatas e da Engenharia,0,0,12,12,100.0
57,9119,Engenharia Informática,1307,Universidade da Madeira,Faculdade de Ciências Exatas e da Engenharia,0,0,94,84,89.4
58,9779,Línguas Modernas,505,Universidade de Coimbra,Faculdade de Letras,0,0,107,65,60.7
59,8014,Serviço Social,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,1,0,3,3,100.0
60,9173,Gestão Hoteleira,3034,Instituto Politécnico do Cávado e do Ave,Escola Superior de Hotelaria e Turismo,0,0,19,12,63.2
61,L130,Educação Ambiental e Turismo de Natureza,3142,Instituto Politécnico de Santarém,Escola Superior de Educação de Santarém,0,0,5,5,100.0
62,9549,Farmácia,7210,Instituto Politécnico de Coimbra,Escola Superior de Tecnologia da Saúde de Coimbra,0,0,35,15,42.9
63,9694,Ciência da Informação,505,Universidade de Coimbra,Faculdade de Letras,0,0,16,11,68.8
64,9182,História da Arte,902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0,0,46,22,47.8
65,A006,Economia (ensino em Inglês),1517,Universidade de Lisboa,Instituto Superior de Economia e Gestão,0,0,22,6,27.3
66,9853,Educação Básica,3052,Instituto Politécnico de Castelo Branco,Escola Superior de Educação de Castelo Branco,0,0,25,16,64.0
67,9563,Desporto,3081,Universidade do Algarve,Escola Superior de Educação e Comunicação,0,0,69,32,46.4
68,9182,História da Arte,505,Universidade de Coimbra,Faculdade de Letras,0,0,27,14,51.9
69,L119,"Engenharia Informática, Redes e Telecomunicações",3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,20,8,40.0
70,9853,Educação Básica,150,Universidade dos Açores,Faculdade de Ciências Sociais e Humanas,0,0,58,21,36.2
71,L067,Fisiologia Clínica,7210,Instituto Politécnico de Coimbra,Escola Superior de Tecnologia da Saúde de Coimbra,0,0,30,20,66.7
72,9105,Engenharia Eletromecânica,400,Universidade da Beira Interior,D,0,0,7,7,100.0
73,L153,Engenharia de Redes e Sistemas de Computadores,3163,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,0,0,5,5,100.0
74,9254,Turismo,3045,Instituto Politécnico de Bragança,"Escola Superior de Comunicação, Administração e Turismo de Mirandela",0,0,8,8,100.0
75,9205,Marketing,3082,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo",0,0,94,31,33.0
76,L221,Engenharia Aeroespacial,1518,Universidade de Lisboa,Instituto Superior Técnico,0,0,266,129,48.5
77,9242,Solicitadoria,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,83,29,34.9
78,9238,Serviço Social,3186,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Lamego,0,0,19,19,100.0
79,9081,Economia,300,Universidade de Aveiro,D,0,0,37,10,27.0
80,9818,Ciência e Tecnologia Animal,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,17,17,100.0
81,9554,Ciências da Nutrição,1204,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências da Vida e do Ambiente,0,0,32,29,90.6
82,9548,Medicina Dentária,1508,Universidade de Lisboa,Faculdade de Medicina Dentária,0,0,146,43,29.5
83,9147,Gestão,400,Universidade da Beira Interior,D,0,0,106,55,51.9
84,9853,Educação Básica,1202,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,0,0,39,20,51.3
85,L209,Engenharia Eletrotécnica e de Computadores,1518,Universidade de Lisboa,Instituto Superior Técnico,0,0,138,98,71.0
86,9147,Gestão,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,121,69,57.0
87,9011,Biologia,300,Universidade de Aveiro,D,0,0,104,76,73.1
88,9841,Reabilitação Psicomotora,605,Universidade de Évora,Escola de Saúde e Desenvolvimento Humano,0,0,6,6,100.0
