,codigo_estabelecimento,codigo_curso,estabelecimento,escola,curso,regime_pos_laboral,regime_noturno,media_Nota,media_PI,media_12º,media_10º/11º
459,1204,9012,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências da Vida e do Ambiente,Biologia e Geologia,0,0,135.467,114.0,147.0,147.0
460,400,9075,Universidade da Beira Interior,D,Design Multimédia,0,0,151.862,147.96,153.92,153.92
461,605,9707,Universidade de Évora,Escola de Saúde e Desenvolvimento Humano,Ciências do Desporto,0,0,142.061,135.071,145.786,145.786
462,1514,9143,Universidade de Lisboa,Instituto de Geografia e Ordenamento do Território,Geografia,0,0,141.949,137.991,145.963,145.869
463,902,9006,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,Arqueologia,0,0,152.696,149.893,155.5,155.5
464,3012,L346,Universidade de Aveiro,Escola Superior de Tecnologia e Gestão de Águeda,Engenharia Informática Aplicada,0,0,150.87,136.741,158.444,158.444
465,3034,8156,Instituto Politécnico do Cávado e do Ave,Escola Superior de Hotelaria e Turismo,Gestão de Atividades Turísticas,0,0,140.059,124.818,148.227,148.227
466,203,9003,Universidade do Algarve,Faculdade de Ciências e Tecnologia,Agronomia,0,0,137.741,119.235,147.647,147.647
467,400,9020,Universidade da Beira Interior,D,Ciência Política e Relações Internacionais,0,0,168.155,170.576,166.818,166.818
468,3142,9853,Instituto Politécnico de Santarém,Escola Superior de Educação de Santarém,Educação Básica,0,0,140.913,128.574,149.128,149.128
469,3182,9123,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,Engenharia Mecânica,0,0,146.678,131.389,154.889,154.889
470,400,9205,Universidade da Beira Interior,D,Marketing,0,0,143.423,132.907,149.07,149.07
471,3101,9492,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,Tradução e Interpretação: Português/Chinês - Chinês/Português,0,0,153.465,161.846,148.923,148.923
472,7230,9504,Instituto Politécnico do Porto,Escola Superior de Saúde,Fisioterapia,0,0,169.221,163.476,174.952,174.952
473,503,9081,Universidade de Coimbra,Faculdade de Economia,Economia,0,0,166.063,162.139,169.96,169.96
474,3131,9807,Instituto Politécnico do Porto,Escola Superior de Educação,Tradução e Interpretação em Língua Gestual Portuguesa,0,0,150.995,144.227,154.591,154.591
475,201,9821,Universidade do Algarve,Faculdade de Ciências Humanas e Sociais,Ciências da Educação e da Formação,0,0,139.885,124.061,148.364,148.364
476,3131,L246,Instituto Politécnico do Porto,Escola Superior de Educação,Gestão do Património Cultural,0,0,140.893,124.822,149.511,149.511
477,3163,L153,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,Engenharia de Redes e Sistemas de Computadores,0,0,132.421,118.429,139.929,139.929
478,300,9069,Universidade de Aveiro,D,Design,0,0,174.892,175.019,174.808,174.808
479,902,9139,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,Filosofia,0,0,171.296,172.481,170.111,170.111
480,3182,9056,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,Contabilidade,0,0,139.903,126.225,147.225,147.225
481,604,9254,Universidade de Évora,Escola de Ciências Sociais,Turismo,0,0,136.08,126.378,141.267,141.267
482,1202,9081,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,Economia,0,0,152.523,135.028,161.906,161.906
483,400,9740,Universidade da Beira Interior,D,Engenharia Aeronáutica,0,0,165.868,150.733,174.0,174.0
484,902,9240,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,Sociologia,0,0,156.233,156.224,156.241,156.241
485,3118,9089,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,Engenharia Civil,0,0,134.91,114.598,145.829,145.829
486,3143,9994,Instituto Politécnico de Santarém,Escola Superior de Gestão e Tecnologia de Santarém,Gestão de Empresas,1,0,120.314,101.214,130.571,130.571
487,400,9081,Universidade da Beira Interior,D,Economia,0,0,143.71,127.959,152.163,152.163
488,505,8393,Universidade de Coimbra,Faculdade de Letras,Português,0,0,154.792,147.75,161.833,161.833
489,3012,L140,Universidade de Aveiro,Escola Superior de Tecnologia e Gestão de Águeda,Gestão Pública,0,0,145.963,134.105,152.316,152.316
490,3052,9853,Instituto Politécnico de Castelo Branco,Escola Superior de Educação de Castelo Branco,Educação Básica,0,0,140.397,127.529,147.314,147.314
491,7003,9500,Escola Superior de Enfermagem do Porto,D,Enfermagem,0,0,162.307,150.628,173.973,173.973
492,203,9494,Universidade do Algarve,Faculdade de Ciências e Tecnologia,Ciências Farmacêuticas,0,0,151.326,132.0,161.7,161.7
493,3031,L140,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,Gestão Pública,0,0,148.176,134.902,155.732,155.0
494,7035,L068,Universidade do Algarve,Escola Superior de Saúde,Ciências Biomédicas Laboratoriais,0,0,152.878,138.056,160.815,160.815
495,3082,9205,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo",Marketing,0,0,154.212,148.576,157.212,157.212
496,1308,9081,Universidade da Madeira,Faculdade de Ciências Sociais,Economia,0,0,139.452,127.759,148.966,148.966
497,400,9351,Universidade da Beira Interior,D,Ciências Biomédicas,0,0,158.831,143.444,167.083,167.083
498,3151,9633,Instituto Politécnico de Setúbal,Escola Superior de Educação,Tradução e Interpretação de Língua Gestual Portuguesa,0,0,137.352,136.095,138.19,138.19
499,7230,9861,Instituto Politécnico do Porto,Escola Superior de Saúde,Saúde Ambiental,0,0,133.729,115.571,151.886,151.886
500,7230,9890,Instituto Politécnico do Porto,Escola Superior de Saúde,Terapia da Fala,0,0,144.784,128.189,161.378,161.378
501,300,9194,Universidade de Aveiro,D,Línguas e Estudos Editoriais,0,0,164.944,172.24,160.08,160.08
502,1518,L162,Universidade de Lisboa,Instituto Superior Técnico,Engenharia Naval e Oceânica,0,0,176.963,171.2,182.667,182.667
503,3182,9994,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,Gestão de Empresas,1,0,134.27,116.5,143.8,143.8
504,7210,9861,Instituto Politécnico de Coimbra,Escola Superior de Tecnologia da Saúde de Coimbra,Saúde Ambiental,0,0,125.762,109.621,134.414,134.414
505,1203,9123,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências e Tecnologia,Engenharia Mecânica,0,0,147.168,125.232,158.964,158.964
506,3163,9751,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,Engenharia Mecatrónica,0,0,124.7,111.0,132.0,132.0
507,505,9773,Universidade de Coimbra,Faculdade de Letras,Jornalismo e Comunicação,0,0,168.5,166.154,170.846,170.846
508,1306,9196,Universidade da Madeira,Faculdade de Artes e Humanidades,Línguas e Relações Empresariais,0,0,153.931,155.667,152.467,152.467
509,300,9016,Universidade de Aveiro,D,Biotecnologia,0,0,171.476,165.052,175.759,175.759
510,3142,L179,Instituto Politécnico de Santarém,Escola Superior de Educação de Santarém,Produção Multimédia em Educação,0,0,133.119,117.963,143.222,143.222
511,3163,9723,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,Design de Ambientes,0,0,156.8,152.714,158.964,158.964
512,1202,9803,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,Teatro e Artes Performativas,0,0,133.931,116.875,143.063,143.063
513,3143,9498,Instituto Politécnico de Santarém,Escola Superior de Gestão e Tecnologia de Santarém,Contabilidade e Fiscalidade,0,0,131.198,115.795,139.455,139.455
514,7220,L068,Instituto Politécnico de Lisboa,Escola Superior de Tecnologia da Saúde de Lisboa,Ciências Biomédicas Laboratoriais,0,0,166.11,156.918,171.016,171.016
515,203,9540,Universidade do Algarve,Faculdade de Ciências e Tecnologia,Bioengenharia,0,0,141.178,119.333,152.889,152.889
516,3143,9152,Instituto Politécnico de Santarém,Escola Superior de Gestão e Tecnologia de Santarém,Gestão de Empresas,0,0,141.469,126.433,149.522,149.522
517,1203,9104,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências e Tecnologia,Engenharia e Gestão Industrial,0,0,145.985,120.075,159.9,159.9
518,1202,9219,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,Psicologia,0,0,167.75,160.806,171.458,171.458
519,300,9146,Universidade de Aveiro,D,Geologia,0,0,135.11,120.35,144.95,144.95
520,1000,9219,Universidade do Minho,D,Psicologia,0,0,172.496,163.343,178.597,178.597
521,3103,L257,Instituto Politécnico de Leiria,Escola Superior de Artes e Design,Design de Espaços,0,0,153.115,148.926,155.333,155.333
522,3065,9119,Instituto Politécnico de Coimbra,Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,Engenharia Informática,0,0,130.383,108.672,142.034,142.034
523,1503,9015,Universidade de Lisboa,Faculdade de Ciências,Bioquímica,0,0,168.143,162.707,173.529,173.529
524,3091,L034,Instituto Politécnico da Guarda,"Escola Superior de Educação, Comunicação e Desporto","Desporto, Condição Física e Saúde",0,0,131.857,114.821,141.0,141.0
525,3061,9003,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,Agronomia,0,0,137.464,116.318,148.818,148.818
526,3023,9242,Instituto Politécnico de Beja,Escola Superior de Tecnologia e de Gestão,Solicitadoria,0,0,143.907,130.844,150.911,150.911
527,501,9123,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,Engenharia Mecânica,0,0,152.363,139.899,164.78,164.78
528,1506,9139,Universidade de Lisboa,Faculdade de Letras,Filosofia,0,0,161.67,162.34,161.0,161.0
529,1107,9197,Universidade do Porto,Faculdade de Letras,Línguas e Relações Internacionais,0,0,184.865,186.013,184.1,184.1
530,6800,9257,ISCTE,Instituto Universitário de Lisboa,Arquitetura,0,0,171.118,175.265,166.961,166.961
531,1107,9204,Universidade do Porto,Faculdade de Letras,"Línguas, Literaturas e Culturas",0,0,178.04,180.013,176.725,176.725
532,1516,9240,Universidade de Lisboa,Instituto Superior de Ciências Sociais e Políticas,Sociologia,0,0,148.656,142.479,154.833,154.833
533,6800,9156,ISCTE,Instituto Universitário de Lisboa,Gestão de Marketing,0,0,170.456,168.39,172.512,172.512
534,300,L223,Universidade de Aveiro,D,Engenharia Computacional,0,0,144.932,127.5,162.32,162.32
535,1000,L221,Universidade do Minho,D,Engenharia Aeroespacial,0,0,193.361,189.645,195.839,195.839
536,3053,L275,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,Informática e Multimédia,0,0,139.65,113.0,154.0,154.0
537,1103,9687,Universidade do Porto,Faculdade de Ciências,Bioinformática,0,0,172.423,162.983,181.8,181.8
538,1000,9195,Universidade do Minho,D,Línguas e Literaturas Europeias,0,0,169.273,178.383,163.2,163.2
539,1000,9113,Universidade do Minho,D,Engenharia Física,0,0,173.091,162.086,180.429,180.429
540,507,9238,Universidade de Coimbra,Faculdade de Psicologia e de Ciências da Educação,Serviço Social,0,0,161.364,157.848,164.879,164.879
541,1000,9146,Universidade do Minho,D,Geologia,0,0,134.4,117.15,145.9,145.9
542,903,9123,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,Engenharia Mecânica,0,0,173.358,167.993,176.934,176.934
543,1000,9381,Universidade do Minho,D,Estatística Aplicada,0,0,140.152,118.84,154.36,154.36
544,3087,9147,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",Gestão,0,0,137.629,126.613,143.516,143.516
545,3181,9850,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,Desporto e Atividade Física,0,0,144.695,130.054,152.541,152.541
546,1105,9104,Universidade do Porto,Faculdade de Engenharia,Engenharia e Gestão Industrial,0,0,190.326,186.696,193.911,193.911
547,1000,9181,Universidade do Minho,D,História,0,0,167.34,163.767,169.721,169.721
548,1515,9087,Universidade de Lisboa,Instituto Superior de Agronomia,Engenharia Alimentar,0,0,129.638,118.808,140.462,140.462
549,6800,L189,ISCTE,Instituto Universitário de Lisboa,Ciência de Dados,1,0,153.813,145.633,159.267,159.267
550,3064,L226,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,Informática Industrial,0,0,132.627,114.233,142.5,142.5
551,3112,8307,Instituto Politécnico de Lisboa,Escola Superior de Educação,Artes Visuais e Tecnologias,0,0,158.105,161.035,155.174,155.174
552,6800,L030,ISCTE,Instituto Universitário de Lisboa,Gestão Industrial e Logística,0,0,162.77,162.75,162.775,162.775
553,1201,9752,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Agrárias e Veterinárias,Enologia,0,0,134.413,114.522,145.087,145.087
554,3153,9628,Instituto Politécnico de Setúbal,Escola Superior de Ciências Empresariais,Contabilidade e Finanças,0,1,137.71,131.233,141.167,141.167
555,6800,9157,ISCTE,Instituto Universitário de Lisboa,Gestão de Recursos Humanos,0,0,169.646,171.61,167.683,167.683
556,6800,9885,ISCTE,Instituto Universitário de Lisboa,Engenharia Informática,1,0,152.686,149.457,155.914,155.914
557,1107,9192,Universidade do Porto,Faculdade de Letras,Línguas Aplicadas,0,0,175.239,178.967,172.754,172.754
558,3022,9563,Instituto Politécnico de Beja,Escola Superior de Educação,Desporto,0,0,137.388,125.152,143.939,143.939
559,3112,9876,Instituto Politécnico de Lisboa,Escola Superior de Educação,Educação Básica,1,0,145.7,137.568,153.5,153.955
560,1103,9709,Universidade do Porto,Faculdade de Ciências,Ciências e Tecnologia do Ambiente,0,0,147.463,137.2,157.725,157.725
561,1506,9914,Universidade de Lisboa,Faculdade de Letras,Estudos Asiáticos,0,0,153.926,151.667,156.185,156.185
562,3032,8417,Instituto Politécnico do Cávado e do Ave,Escola Superior de Tecnologia,Engenharia de Sistemas Informáticos,1,0,147.63,135.894,153.909,153.909
563,3125,9085,Instituto Politécnico de Portalegre,Escola Superior de Biociências de Elvas,Enfermagem Veterinária,0,0,133.52,113.817,144.1,144.1
564,300,9123,Universidade de Aveiro,D,Engenharia Mecânica,0,0,168.262,161.252,175.218,175.218
565,6800,9081,ISCTE,Instituto Universitário de Lisboa,Economia,0,0,170.35,168.861,171.819,171.819
566,1502,9072,Universidade de Lisboa,Faculdade de Belas-Artes,Design de Equipamento,0,0,170.718,180.164,161.273,161.273
