,curso,regime,estabelecimento,Nota_minima
96,Biomecânica,Diurno,Instituto Politécnico de Leiria,120.4
97,Bioquímica,Diurno,Universidade Nova de Lisboa,114.8
98,Bioquímica,Diurno,Universidade da Beira Interior,128.8
99,Bioquímica,Diurno,Universidade da Madeira,117.0
100,Bioquímica,Diurno,Universidade de Aveiro,139.4
101,Bioquímica,Diurno,Universidade de Coimbra,126.3
102,Bioquímica,Diurno,Universidade de Lisboa,139.3
103,Bioquímica,Diurno,Universidade de Trás-os-Montes e Alto Douro,132.7
104,Bioquímica,Diurno,Universidade de Évora,101.0
105,Bioquímica,Diurno,Universidade do Algarve,121.9
106,Bioquímica,Diurno,Universidade do Minho,130.4
107,Bioquímica,Diurno,Universidade do Porto,116.5
108,Biorrecursos,Diurno,Instituto Politécnico do Porto,119.4
109,Biotecnologia,Diurno,Instituto Politécnico de Coimbra,120.4
110,Biotecnologia,Diurno,Instituto Politécnico de Leiria,123.3
111,Biotecnologia,Diurno,Instituto Politécnico de Setúbal,130.1
112,Biotecnologia,Diurno,Instituto Politécnico de Viana do Castelo,121.4
113,Biotecnologia,Diurno,Instituto Politécnico de Viseu,116.3
114,Biotecnologia,Diurno,Universidade da Beira Interior,112.9
115,Biotecnologia,Diurno,Universidade de Aveiro,130.4
116,Biotecnologia,Diurno,Universidade de Évora,115.0
117,Biotecnologia,Diurno,Universidade do Algarve,124.4
118,Biotecnologia Alimentar,Diurno,Instituto Politécnico de Castelo Branco,121.7
119,Biotecnologia Medicinal,Diurno,Instituto Politécnico da Guarda,112.0
120,Biotecnologia Medicinal,Diurno,Instituto Politécnico do Porto,142.5
121,Ciclo Básico de Medicina,Diurno,Universidade da Madeira,172.5
122,Ciclo Básico de Medicina,Diurno,Universidade dos Açores,159.3
123,Cidades Sustentáveis e Inteligentes,Diurno,Universidade de Trás-os-Montes e Alto Douro,113.5
124,Cinema,Diurno,Universidade da Beira Interior,143.0
125,Cinema e Audiovisual,Diurno,Instituto Politécnico do Porto,122.2
126,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),Diurno,Universidade dos Açores,125.3
127,Ciência Política,Diurno,ISCTE,148.5
128,Ciência Política,Diurno,Universidade de Lisboa,155.0
129,Ciência Política,Diurno,Universidade do Minho,113.6
130,Ciência Política e Relações Internacionais,Diurno,Universidade Nova de Lisboa,121.5
131,Ciência Política e Relações Internacionais,Diurno,Universidade da Beira Interior,150.7
132,Ciência da Informação,Diurno,Universidade de Coimbra,120.8
133,Ciência da Informação,Diurno,Universidade do Porto,144.0
134,Ciência de Computadores,Diurno,Universidade do Porto,141.0
135,Ciência de Dados,Diurno,ISCTE,161.2
136,Ciência de Dados,Diurno,Universidade Nova de Lisboa,128.7
137,Ciência de Dados,Diurno,Universidade do Minho,138.0
138,Ciência de Dados,Pós-Laboral,ISCTE,146.0
139,Ciência de Dados e Inteligência Artificial,Diurno,Instituto Politécnico da Guarda,120.4
140,Ciência de Dados para a Gestão,Diurno,Instituto Politécnico de Coimbra,128.8
141,Ciência e Tecnologia Animal,Diurno,Universidade de Évora,121.5
142,Ciências Agrárias,Diurno,Universidade dos Açores,113.2
143,Ciências Bioanalíticas,Diurno,Universidade de Coimbra,131.2
144,Ciências Biomédicas,Diurno,Universidade da Beira Interior,140.8
145,Ciências Biomédicas,Diurno,Universidade de Aveiro,127.5
146,Ciências Biomédicas,Diurno,Universidade de Trás-os-Montes e Alto Douro,148.0
147,Ciências Biomédicas,Diurno,Universidade do Algarve,142.1
148,Ciências Biomédicas Laboratoriais,Diurno,Instituto Politécnico de Bragança,111.0
149,Ciências Biomédicas Laboratoriais,Diurno,Instituto Politécnico de Castelo Branco,118.1
150,Ciências Biomédicas Laboratoriais,Diurno,Instituto Politécnico de Coimbra,138.9
151,Ciências Biomédicas Laboratoriais,Diurno,Instituto Politécnico de Lisboa,124.8
152,Ciências Biomédicas Laboratoriais,Diurno,Instituto Politécnico do Porto,131.0
153,Ciências Biomédicas Laboratoriais,Diurno,Universidade do Algarve,126.2
154,Ciências Biomédicas e da Saúde,Diurno,Universidade de Évora,133.5
155,Ciências Empresariais,Diurno,Instituto Politécnico do Porto,124.9
156,Ciências Empresariais,Pós-Laboral,Instituto Politécnico do Porto,122.7
157,Ciências Farmacêuticas,Diurno,Universidade da Beira Interior,146.9
158,Ciências Farmacêuticas,Diurno,Universidade de Coimbra,132.8
159,Ciências Farmacêuticas,Diurno,Universidade de Lisboa,138.0
160,Ciências Farmacêuticas,Diurno,Universidade de Évora,141.6
161,Ciências Farmacêuticas,Diurno,Universidade do Algarve,141.3
162,Ciências Farmacêuticas,Diurno,Universidade do Porto,127.8
163,Ciências Farmacêuticas (Preparatórios),Diurno,Universidade dos Açores,138.7
164,Ciências Florestais e Recursos Naturais,Diurno,Instituto Politécnico de Coimbra,105.0
165,Ciências Musicais,Diurno,Universidade Nova de Lisboa,114.0
166,Ciências da Arte e do Património,Diurno,Universidade de Lisboa,136.3
167,Ciências da Computação,Diurno,Universidade do Minho,147.0
168,Ciências da Comunicação,Diurno,Universidade Nova de Lisboa,127.0
169,Ciências da Comunicação,Diurno,Universidade da Beira Interior,120.4
170,Ciências da Comunicação,Diurno,Universidade de Lisboa,162.5
171,Ciências da Comunicação,Diurno,Universidade de Trás-os-Montes e Alto Douro,100.0
172,Ciências da Comunicação,Diurno,Universidade do Algarve,131.1
173,Ciências da Comunicação,Diurno,Universidade do Minho,145.6
174,Ciências da Comunicação,Diurno,Universidade do Porto,128.0
175,Ciências da Cultura,Diurno,Universidade da Beira Interior,115.9
176,Ciências da Educação,Diurno,Universidade da Madeira,135.0
177,Ciências da Educação,Diurno,Universidade de Coimbra,119.0
178,Ciências da Educação,Diurno,Universidade de Évora,131.9
179,Ciências da Educação,Diurno,Universidade do Porto,123.0
180,Ciências da Educação e da Formação,Diurno,Universidade do Algarve,113.9
181,Ciências da Linguagem,Diurno,Universidade Nova de Lisboa,149.0
182,Ciências da Linguagem,Diurno,Universidade de Lisboa,118.0
183,Ciências da Linguagem,Diurno,Universidade do Porto,134.6
184,Ciências da Nutrição,Diurno,Universidade Nova de Lisboa,153.3
185,Ciências da Nutrição,Diurno,Universidade de Lisboa,155.5
186,Ciências da Nutrição,Diurno,Universidade de Trás-os-Montes e Alto Douro,128.0
187,Ciências da Nutrição,Diurno,Universidade do Porto,140.8
188,Ciências do Ambiente,Diurno,Universidade de Trás-os-Montes e Alto Douro,114.5
189,Ciências do Ambiente,Diurno,Universidade do Minho,129.8
190,Ciências do Desporto,Diurno,Universidade da Beira Interior,124.1
191,Ciências do Desporto,Diurno,Universidade de Coimbra,114.3
192,Ciências do Desporto,Diurno,Universidade de Lisboa,131.0
193,Ciências do Desporto,Diurno,Universidade de Trás-os-Montes e Alto Douro,122.4
194,Ciências do Desporto,Diurno,Universidade de Évora,134.3
195,Ciências do Desporto,Diurno,Universidade do Porto,127.5
196,Ciências do Mar,Diurno,Universidade de Aveiro,125.5
197,Ciências do Meio Aquático,Diurno,Universidade do Porto,148.0
198,Ciências e Tecnologia do Ambiente,Diurno,Instituto Politécnico de Viseu,97.0
199,Ciências e Tecnologia do Ambiente,Diurno,Universidade do Porto,128.0
200,Ciências e Tecnologias da Documentação e Informação,Diurno,Instituto Politécnico do Porto,138.8
201,Computação Criativa e Realidade Virtual,Diurno,Universidade da Beira Interior,126.8
202,Comunicação Empresarial,Diurno,Instituto Politécnico do Porto,164.3
203,Comunicação Empresarial,Pós-Laboral,Instituto Politécnico do Porto,141.8
204,Comunicação Multimédia,Diurno,Instituto Politécnico da Guarda,105.8
205,Comunicação Organizacional,Diurno,Instituto Politécnico de Coimbra,135.9
206,Comunicação Organizacional,Pós-Laboral,Instituto Politécnico de Coimbra,134.8
207,Comunicação Social,Diurno,Instituto Politécnico de Coimbra,143.4
208,Comunicação Social,Diurno,Instituto Politécnico de Setúbal,136.6
209,Comunicação Social,Diurno,Instituto Politécnico de Viseu,118.0
210,Comunicação Social: Jornalismo e Comunicação Empresarial,Diurno,Instituto Politécnico de Tomar,122.6
211,Comunicação e Design Multimédia,Diurno,Instituto Politécnico de Coimbra,125.8
212,Comunicação e Media,Diurno,Instituto Politécnico de Leiria,135.3
213,Comunicação e Multimédia,Diurno,Universidade de Trás-os-Montes e Alto Douro,116.0
214,Comunicação e Relações Públicas,Diurno,Instituto Politécnico da Guarda,109.7
215,Comunicação e Relações Públicas,Diurno,Universidade dos Açores,119.4
216,"Comunicação, Cultura e Organizações",Diurno,Universidade da Madeira,127.0
217,Comércio Internacional,Diurno,Instituto Politécnico do Porto,141.0
218,Comércio Internacional,Pós-Laboral,Instituto Politécnico do Porto,145.6
219,Comércio e Negócios Internacionais,Pós-Laboral,Instituto Politécnico de Lisboa,135.3
220,Comércio e Relações Económicas Internacionais,Diurno,Instituto Politécnico de Coimbra,128.5
221,Conservação - Restauro,Diurno,Universidade Nova de Lisboa,116.2
222,Conservação e Restauro,Diurno,Instituto Politécnico de Tomar,133.5
223,Contabilidade,Diurno,Instituto Politécnico da Guarda,106.7
224,Contabilidade,Diurno,Instituto Politécnico de Bragança,102.0
225,Contabilidade,Diurno,Instituto Politécnico de Tomar,122.0
226,Contabilidade,Diurno,Instituto Politécnico de Viseu,131.9
227,Contabilidade,Diurno,Instituto Politécnico do Cávado e do Ave,117.4
228,Contabilidade,Diurno,Universidade de Aveiro,123.3
229,Contabilidade,Diurno,Universidade do Minho,104.0
230,Contabilidade,Pós-Laboral,Instituto Politécnico do Cávado e do Ave,132.8
231,Contabilidade,Pós-Laboral,Universidade de Aveiro,128.1
232,Contabilidade e Administração,Diurno,Instituto Politécnico de Coimbra,119.0
233,Contabilidade e Administração,Diurno,Instituto Politécnico de Lisboa,123.6
234,Contabilidade e Administração,Diurno,Instituto Politécnico do Porto,137.0
235,Contabilidade e Administração,Pós-Laboral,Instituto Politécnico de Lisboa,126.6
236,Contabilidade e Administração,Pós-Laboral,Instituto Politécnico do Porto,130.8
237,Contabilidade e Auditoria,Diurno,Instituto Politécnico de Coimbra,137.8
238,Contabilidade e Finanças,Diurno,Instituto Politécnico de Leiria,135.0
239,Contabilidade e Finanças,Diurno,Instituto Politécnico de Setúbal,138.5
240,Contabilidade e Finanças,Noturno,Instituto Politécnico de Setúbal,132.1
241,Contabilidade e Fiscalidade,Diurno,Instituto Politécnico de Santarém,107.0
242,Contabilidade e Fiscalidade,Diurno,Instituto Politécnico de Viana do Castelo,131.3
243,Contabilidade e Gestão Pública,Diurno,Instituto Politécnico de Coimbra,125.7
244,Criatividade e Inovação Empresarial,Diurno,Instituto Politécnico do Porto,124.3
245,Criminologia,Diurno,Universidade do Porto,159.4
246,Criminologia e Justiça Criminal,Diurno,Universidade do Minho,135.6
247,Cultura e Transformação Digital,Diurno,Universidade de Trás-os-Montes e Alto Douro,118.4
248,Dança,Diurno,Universidade de Lisboa,128.5
249,Desenho,Diurno,Universidade de Lisboa,159.0
250,Desenho,Diurno,Universidade do Porto,153.0
251,Desenvolvimento de Software e Aplicações,Diurno,ISCTE,140.4
252,Design,Diurno,Instituto Politécnico do Porto,129.1
253,Design,Diurno,Universidade da Madeira,140.3
254,Design,Diurno,Universidade de Aveiro,114.8
255,Design,Diurno,Universidade de Lisboa,133.5
256,Design,Diurno,Universidade de Évora,155.9
257,Design Audiovisual,Diurno,Instituto Politécnico do Cávado e do Ave,143.9
258,Design Gráfico,Diurno,Instituto Politécnico do Cávado e do Ave,126.4
259,Design Gráfico,Pós-Laboral,Instituto Politécnico do Cávado e do Ave,129.1
260,Design Gráfico e Multimédia,Diurno,Instituto Politécnico de Leiria,129.7
