,curso,regime,estabelecimento,Nota_minima
406,Engenharia Agronómica,Diurno,Instituto Politécnico de Viseu,137.6
407,Engenharia Agronómica,Diurno,Universidade de Lisboa,108.5
408,Engenharia Agronómica,Diurno,Universidade de Trás-os-Montes e Alto Douro,129.7
409,Engenharia Agronómica,Diurno,Universidade do Porto,116.5
410,Engenharia Alimentar,Diurno,Instituto Politécnico de Viana do Castelo,147.0
411,Engenharia Alimentar,Diurno,Instituto Politécnico de Viseu,143.7
412,Engenharia Alimentar,Diurno,Universidade de Lisboa,110.0
413,Engenharia Automóvel,Diurno,Instituto Politécnico de Leiria,122.4
414,Engenharia Biológica,Diurno,Universidade de Lisboa,156.8
415,Engenharia Biomédica,Diurno,Instituto Politécnico de Coimbra,135.9
416,Engenharia Biomédica,Diurno,Instituto Politécnico de Lisboa,150.5
417,Engenharia Biomédica,Diurno,Instituto Politécnico do Porto,141.2
418,Engenharia Biomédica,Diurno,Universidade Nova de Lisboa,146.8
419,Engenharia Biomédica,Diurno,Universidade de Aveiro,166.0
420,Engenharia Biomédica,Diurno,Universidade de Coimbra,155.3
421,Engenharia Biomédica,Diurno,Universidade de Lisboa,154.3
422,Engenharia Biomédica,Diurno,Universidade de Trás-os-Montes e Alto Douro,133.5
423,Engenharia Biomédica,Diurno,Universidade do Minho,150.2
424,Engenharia Biomédica e Biofísica,Diurno,Universidade de Lisboa,145.0
425,Engenharia Civil,Diurno,Instituto Politécnico de Bragança,144.4
426,Engenharia Civil,Diurno,Instituto Politécnico de Castelo Branco,137.9
427,Engenharia Civil,Diurno,Instituto Politécnico de Coimbra,113.4
428,Engenharia Civil,Diurno,Instituto Politécnico de Leiria,117.9
429,Engenharia Civil,Diurno,Instituto Politécnico de Lisboa,123.7
430,Engenharia Civil,Diurno,Instituto Politécnico de Viseu,134.6
431,Engenharia Civil,Diurno,Instituto Politécnico do Porto,141.4
432,Engenharia Civil,Diurno,Universidade Nova de Lisboa,140.0
433,Engenharia Civil,Diurno,Universidade da Beira Interior,123.2
434,Engenharia Civil,Diurno,Universidade da Madeira,120.8
435,Engenharia Civil,Diurno,Universidade de Aveiro,132.0
436,Engenharia Civil,Diurno,Universidade de Coimbra,131.5
437,Engenharia Civil,Diurno,Universidade de Lisboa,139.5
438,Engenharia Civil,Diurno,Universidade de Trás-os-Montes e Alto Douro,111.9
439,Engenharia Civil,Diurno,Universidade do Algarve,132.7
440,Engenharia Civil,Diurno,Universidade do Minho,151.6
441,Engenharia Civil,Diurno,Universidade do Porto,120.5
442,Engenharia Civil e do Ambiente,Diurno,Instituto Politécnico de Viana do Castelo,125.2
443,Engenharia Computacional,Diurno,Universidade de Aveiro,127.8
444,Engenharia Eletromecânica,Diurno,Instituto Politécnico de Coimbra,119.4
445,Engenharia Eletromecânica,Diurno,Universidade da Beira Interior,130.7
446,Engenharia Eletrotécnica,Diurno,Instituto Politécnico de Lisboa,108.0
447,Engenharia Eletrotécnica,Diurno,Instituto Politécnico de Viseu,130.5
448,Engenharia Eletrotécnica - Sistemas Elétricos de Energia,Diurno,Instituto Politécnico do Porto,139.2
449,Engenharia Eletrotécnica Marítima,Diurno,Escola Superior Náutica Infante D. Henrique,131.7
450,Engenharia Eletrotécnica e de Computadores,Diurno,Instituto Politécnico de Bragança,122.2
451,Engenharia Eletrotécnica e de Computadores,Diurno,Instituto Politécnico de Coimbra,122.3
452,Engenharia Eletrotécnica e de Computadores,Diurno,Instituto Politécnico de Leiria,127.2
453,Engenharia Eletrotécnica e de Computadores,Diurno,Instituto Politécnico de Setúbal,129.1
454,Engenharia Eletrotécnica e de Computadores,Diurno,Instituto Politécnico de Tomar,154.5
455,Engenharia Eletrotécnica e de Computadores,Diurno,Instituto Politécnico do Cávado e do Ave,121.4
456,Engenharia Eletrotécnica e de Computadores,Diurno,Instituto Politécnico do Porto,137.6
457,Engenharia Eletrotécnica e de Computadores,Diurno,Universidade Nova de Lisboa,127.8
458,Engenharia Eletrotécnica e de Computadores,Diurno,Universidade da Beira Interior,141.6
459,Engenharia Eletrotécnica e de Computadores,Diurno,Universidade de Aveiro,134.4
460,Engenharia Eletrotécnica e de Computadores,Diurno,Universidade de Coimbra,111.0
461,Engenharia Eletrotécnica e de Computadores,Diurno,Universidade de Lisboa,136.3
462,Engenharia Eletrotécnica e de Computadores,Diurno,Universidade de Trás-os-Montes e Alto Douro,127.7
463,Engenharia Eletrotécnica e de Computadores,Diurno,Universidade do Algarve,128.4
464,Engenharia Eletrotécnica e de Computadores,Diurno,Universidade do Porto,123.0
465,Engenharia Eletrotécnica e de Computadores,Noturno,Instituto Politécnico de Leiria,159.1
466,Engenharia Eletrónica,Diurno,Universidade de Lisboa,120.0
467,Engenharia Eletrónica Industrial e Computadores,Diurno,Universidade do Minho,115.8
468,Engenharia Eletrónica e Telecomunicações,Diurno,Universidade da Madeira,144.8
469,Engenharia Eletrónica e Telecomunicações e de Computadores,Diurno,Instituto Politécnico de Lisboa,117.2
470,Engenharia Florestal e dos Recursos Naturais,Diurno,Universidade de Lisboa,123.3
471,Engenharia Física,Diurno,Universidade Nova de Lisboa,170.0
472,Engenharia Física,Diurno,Universidade de Aveiro,127.3
473,Engenharia Física,Diurno,Universidade de Coimbra,132.8
474,Engenharia Física,Diurno,Universidade de Lisboa,156.5
475,Engenharia Física,Diurno,Universidade de Trás-os-Montes e Alto Douro,156.3
476,Engenharia Física,Diurno,Universidade do Minho,157.2
477,Engenharia Física,Diurno,Universidade do Porto,145.8
478,Engenharia Física Aplicada,Diurno,Instituto Politécnico de Lisboa,118.5
479,Engenharia Física Tecnológica,Diurno,Universidade de Lisboa,149.3
480,Engenharia Geoespacial,Diurno,Universidade de Lisboa,122.8
481,Engenharia Geoespacial,Diurno,Universidade do Porto,113.3
482,Engenharia Geológica,Diurno,Universidade Nova de Lisboa,124.4
483,Engenharia Geotécnica e Geoambiente,Diurno,Instituto Politécnico do Porto,117.5
484,Engenharia Informática,Diurno,ISCTE,121.5
485,Engenharia Informática,Diurno,Instituto Politécnico da Guarda,120.3
486,Engenharia Informática,Diurno,Instituto Politécnico de Beja,116.8
487,Engenharia Informática,Diurno,Instituto Politécnico de Bragança,110.0
488,Engenharia Informática,Diurno,Instituto Politécnico de Castelo Branco,120.9
489,Engenharia Informática,Diurno,Instituto Politécnico de Coimbra,111.9
490,Engenharia Informática,Diurno,Instituto Politécnico de Leiria,137.7
491,Engenharia Informática,Diurno,Instituto Politécnico de Portalegre,137.1
492,Engenharia Informática,Diurno,Instituto Politécnico de Setúbal,135.8
493,Engenharia Informática,Diurno,Instituto Politécnico de Tomar,118.9
494,Engenharia Informática,Diurno,Instituto Politécnico de Viana do Castelo,121.8
495,Engenharia Informática,Diurno,Instituto Politécnico de Viseu,122.8
496,Engenharia Informática,Diurno,Instituto Politécnico do Porto,113.7
497,Engenharia Informática,Diurno,Universidade Nova de Lisboa,134.6
498,Engenharia Informática,Diurno,Universidade da Beira Interior,119.5
499,Engenharia Informática,Diurno,Universidade da Madeira,124.2
500,Engenharia Informática,Diurno,Universidade de Aveiro,127.0
501,Engenharia Informática,Diurno,Universidade de Coimbra,121.5
502,Engenharia Informática,Diurno,Universidade de Lisboa,132.5
503,Engenharia Informática,Diurno,Universidade de Trás-os-Montes e Alto Douro,128.3
504,Engenharia Informática,Diurno,Universidade de Évora,123.1
505,Engenharia Informática,Diurno,Universidade do Algarve,111.1
506,Engenharia Informática,Diurno,Universidade do Minho,110.6
507,Engenharia Informática,Pós-Laboral,ISCTE,141.5
508,Engenharia Informática,Pós-Laboral,Instituto Politécnico de Coimbra,130.2
509,Engenharia Informática,Pós-Laboral,Instituto Politécnico de Leiria,119.6
510,Engenharia Informática (Curso Europeu),Diurno,Instituto Politécnico de Coimbra,137.6
511,Engenharia Informática Aplicada,Diurno,Universidade de Aveiro,137.9
512,Engenharia Informática Médica,Diurno,Instituto Politécnico do Cávado e do Ave,130.7
513,Engenharia Informática e Computação,Diurno,Universidade do Porto,167.8
514,Engenharia Informática e Multimédia,Diurno,Instituto Politécnico de Lisboa,131.5
515,Engenharia Informática e Telecomunicações,Diurno,Instituto Politécnico de Viseu,116.6
516,Engenharia Informática e de Computadores,Diurno,Escola Superior Náutica Infante D. Henrique,132.2
517,Engenharia Informática e de Computadores,Diurno,Instituto Politécnico de Lisboa,118.5
518,Engenharia Informática e de Computadores,Diurno,Universidade de Lisboa,132.0
519,"Engenharia Informática, Redes e Telecomunicações",Diurno,Instituto Politécnico de Lisboa,134.4
520,Engenharia Mecatrónica,Diurno,Instituto Politécnico de Viana do Castelo,124.7
521,Engenharia Mecatrónica,Diurno,Universidade de Évora,126.3
522,Engenharia Mecânica,Diurno,Instituto Politécnico de Bragança,130.7
523,Engenharia Mecânica,Diurno,Instituto Politécnico de Coimbra,123.6
524,Engenharia Mecânica,Diurno,Instituto Politécnico de Leiria,122.7
525,Engenharia Mecânica,Diurno,Instituto Politécnico de Lisboa,133.8
526,Engenharia Mecânica,Diurno,Instituto Politécnico de Setúbal,120.3
527,Engenharia Mecânica,Diurno,Instituto Politécnico de Tomar,132.3
528,Engenharia Mecânica,Diurno,Instituto Politécnico de Viana do Castelo,117.2
529,Engenharia Mecânica,Diurno,Instituto Politécnico de Viseu,120.2
530,Engenharia Mecânica,Diurno,Instituto Politécnico do Porto,151.8
531,Engenharia Mecânica,Diurno,Universidade Nova de Lisboa,143.4
532,Engenharia Mecânica,Diurno,Universidade de Aveiro,129.5
533,Engenharia Mecânica,Diurno,Universidade de Coimbra,125.5
534,Engenharia Mecânica,Diurno,Universidade de Lisboa,145.3
535,Engenharia Mecânica,Diurno,Universidade de Trás-os-Montes e Alto Douro,131.4
536,Engenharia Mecânica,Diurno,Universidade do Algarve,133.2
537,Engenharia Mecânica,Diurno,Universidade do Minho,128.4
538,Engenharia Mecânica,Diurno,Universidade do Porto,142.0
539,Engenharia Mecânica Automóvel,Diurno,Instituto Politécnico do Porto,151.2
540,Engenharia Mecânica Computacional,Diurno,Universidade da Beira Interior,165.8
541,Engenharia Naval e Oceânica,Diurno,Universidade de Lisboa,172.3
542,Engenharia Química,Diurno,Instituto Politécnico do Porto,134.6
543,Engenharia Química,Diurno,Universidade de Aveiro,133.8
544,Engenharia Química,Diurno,Universidade de Coimbra,122.0
545,Engenharia Química,Diurno,Universidade de Lisboa,156.5
546,Engenharia Química,Diurno,Universidade do Porto,135.0
547,Engenharia Química e Biológica,Diurno,Instituto Politécnico de Lisboa,122.2
548,Engenharia Química e Biológica,Diurno,Universidade Nova de Lisboa,138.8
549,Engenharia Química e Biológica,Diurno,Universidade do Minho,148.0
550,Engenharia Têxtil,Diurno,Universidade do Minho,123.8
551,Engenharia Zootécnica,Diurno,Instituto Politécnico de Viseu,137.1
552,Engenharia Zootécnica,Diurno,Universidade de Lisboa,123.8
553,Engenharia Zootécnica,Diurno,Universidade de Trás-os-Montes e Alto Douro,135.1
554,Engenharia da Computação Gráfica e Multimédia,Diurno,Instituto Politécnico de Viana do Castelo,115.3
555,Engenharia da Energia e Ambiente,Diurno,Universidade de Lisboa,123.8
556,Engenharia da Energia e do Ambiente,Diurno,Instituto Politécnico de Leiria,124.5
557,Engenharia de Automação Industrial,Diurno,Universidade de Aveiro,113.3
558,"Engenharia de Automação, Controlo e Instrumentação",Diurno,Instituto Politécnico de Setúbal,126.9
559,Engenharia de Computadores e Informática,Diurno,Universidade de Aveiro,145.5
560,Engenharia de Energias Renováveis,Diurno,Universidade de Évora,128.3
561,Engenharia de Materiais,Diurno,Universidade Nova de Lisboa,138.8
562,Engenharia de Materiais,Diurno,Universidade de Aveiro,129.4
563,Engenharia de Materiais,Diurno,Universidade de Lisboa,153.5
564,Engenharia de Materiais,Diurno,Universidade do Minho,142.2
565,Engenharia de Materiais,Diurno,Universidade do Porto,150.5
566,Engenharia de Micro e Nanotecnologias,Diurno,Universidade Nova de Lisboa,109.8
567,Engenharia de Minas e Geo-Ambiente,Diurno,Universidade do Porto,126.5
568,Engenharia de Minas e Recursos Energéticos,Diurno,Universidade de Lisboa,130.3
569,Engenharia de Máquinas Marítimas,Diurno,Escola Superior Náutica Infante D. Henrique,125.4
570,Engenharia de Polímeros,Diurno,Universidade do Minho,132.6
571,Engenharia de Redes e Sistemas de Computadores,Diurno,Instituto Politécnico de Viana do Castelo,116.5
572,Engenharia de Sistemas,Diurno,Instituto Politécnico do Porto,134.1
573,Engenharia de Sistemas Informáticos,Diurno,Instituto Politécnico do Cávado e do Ave,136.1
574,Engenharia de Sistemas Informáticos,Pós-Laboral,Instituto Politécnico do Cávado e do Ave,135.6
575,Engenharia de Sistemas e Tecnologias Informáticas,Diurno,Universidade do Algarve,121.9
576,Engenharia de Telecomunicações e Informática,Diurno,ISCTE,122.8
577,Engenharia de Telecomunicações e Informática,Diurno,Instituto Politécnico do Porto,145.4
578,Engenharia de Telecomunicações e Informática,Diurno,Universidade de Lisboa,124.3
579,Engenharia de Telecomunicações e Informática,Diurno,Universidade do Minho,123.0
580,Engenharia do Ambiente,Diurno,Universidade Nova de Lisboa,113.4
581,Engenharia do Ambiente,Diurno,Universidade de Aveiro,119.6
582,Engenharia do Ambiente,Diurno,Universidade de Coimbra,126.8
583,Engenharia do Ambiente,Diurno,Universidade de Lisboa,115.3
584,Engenharia do Ambiente,Diurno,Universidade do Porto,135.5
585,Engenharia e Biotecnologia Florestal,Diurno,Universidade de Trás-os-Montes e Alto Douro,145.1
586,Engenharia e Ciência de Dados,Diurno,Universidade de Coimbra,146.0
587,Engenharia e Gestão Industrial,Diurno,Instituto Politécnico de Castelo Branco,132.2
588,Engenharia e Gestão Industrial,Diurno,Instituto Politécnico de Coimbra,134.0
589,Engenharia e Gestão Industrial,Diurno,Instituto Politécnico de Leiria,129.6
590,Engenharia e Gestão Industrial,Diurno,Instituto Politécnico do Cávado e do Ave,135.5
591,Engenharia e Gestão Industrial,Diurno,Instituto Politécnico do Porto,146.1
592,Engenharia e Gestão Industrial,Diurno,Universidade Nova de Lisboa,162.8
593,Engenharia e Gestão Industrial,Diurno,Universidade da Beira Interior,118.8
594,Engenharia e Gestão Industrial,Diurno,Universidade de Aveiro,159.0
595,Engenharia e Gestão Industrial,Diurno,Universidade de Coimbra,156.8
596,Engenharia e Gestão Industrial,Diurno,Universidade de Lisboa,155.8
597,Engenharia e Gestão Industrial,Diurno,Universidade de Trás-os-Montes e Alto Douro,132.2
598,Engenharia e Gestão Industrial,Diurno,Universidade do Minho,152.8
599,Engenharia e Gestão Industrial,Diurno,Universidade do Porto,171.5
600,Engenharia e Gestão de Sistemas de Informação,Diurno,Universidade do Minho,138.8
601,Engenharia em Desenvolvimento de Jogos Digitais,Diurno,Instituto Politécnico do Cávado e do Ave,131.3
602,Enologia,Diurno,Universidade de Trás-os-Montes e Alto Douro,118.4
603,Enologia,Diurno,Universidade de Évora,116.9
604,Equinicultura,Diurno,Instituto Politécnico de Portalegre,124.5
605,Escultura,Diurno,Universidade de Lisboa,146.8
606,Estatística Aplicada,Diurno,Universidade de Lisboa,147.0
607,Estatística Aplicada,Diurno,Universidade do Minho,122.0
608,Estudos Africanos,Diurno,Universidade de Lisboa,124.5
609,Estudos Artísticos,Diurno,Universidade de Coimbra,129.0
610,"Estudos Artísticos, variante de Artes do Espetáculo",Diurno,Universidade de Lisboa,131.0
611,Estudos Asiáticos,Diurno,Universidade de Lisboa,116.5
612,Estudos Clássicos,Diurno,Universidade de Coimbra,128.0
613,Estudos Clássicos,Diurno,Universidade de Lisboa,122.5
614,Estudos Comparatistas,Diurno,Universidade de Lisboa,111.0
615,Estudos Culturais,Diurno,Universidade do Minho,143.8
616,Estudos Europeus,Diurno,Universidade de Coimbra,156.0
617,Estudos Europeus,Diurno,Universidade de Lisboa,125.0
618,Estudos Europeus,Diurno,Universidade dos Açores,108.4
619,Estudos Gerais,Diurno,Universidade de Lisboa,130.0
620,Estudos Orientais: Estudos Chineses e Japoneses,Diurno,Universidade do Minho,145.2
621,Estudos Portugueses,Diurno,Universidade Nova de Lisboa,130.0
622,Estudos Portugueses,Diurno,Universidade de Lisboa,131.5
623,Estudos Portugueses,Diurno,Universidade do Minho,126.0
624,Estudos Portugueses e Espanhóis,Diurno,Universidade da Beira Interior,118.0
625,Estudos Portugueses e Ingleses,Diurno,Universidade dos Açores,134.0
626,Estudos de Cultura,Diurno,Universidade da Madeira,112.7
627,Estudos de Cultura e Comunicação Intercultural,Diurno,Universidade de Lisboa,132.5
628,Estudos de Filosofia e de Cultura Contemporânea,Diurno,Universidade de Évora,120.3
629,Farmácia,Diurno,Instituto Politécnico da Guarda,112.2
630,Farmácia,Diurno,Instituto Politécnico de Bragança,109.3
631,Farmácia,Diurno,Instituto Politécnico de Coimbra,137.9
632,Farmácia,Diurno,Instituto Politécnico de Lisboa,148.0
633,Farmácia,Diurno,Instituto Politécnico do Porto,142.0
634,Farmácia,Diurno,Universidade do Algarve,111.3
635,Farmácia Biomédica,Diurno,Universidade de Coimbra,140.0
636,Filosofia,Diurno,Universidade Nova de Lisboa,147.5
637,Filosofia,Diurno,Universidade da Beira Interior,136.7
638,Filosofia,Diurno,Universidade de Coimbra,145.0
639,Filosofia,Diurno,Universidade de Lisboa,137.5
640,Filosofia,Diurno,Universidade do Minho,139.0
641,Filosofia,Diurno,Universidade do Porto,126.4
642,Finanças,Diurno,Instituto Politécnico do Cávado e do Ave,137.5
643,Finanças,Diurno,Universidade de Aveiro,136.3
644,Finanças,Pós-Laboral,Universidade de Aveiro,126.6
645,Finanças (ensino em inglês),Diurno,Universidade de Lisboa,152.5
646,Finanças Empresariais,Diurno,Instituto Politécnico de Lisboa,150.5
647,Finanças Empresariais,Pós-Laboral,Instituto Politécnico de Lisboa,129.4
648,Finanças e Contabilidade,Diurno,ISCTE,138.0
649,Finanças e Contabilidade,Diurno,Instituto Politécnico de Coimbra,138.5
650,Fiscalidade,Diurno,Instituto Politécnico do Cávado e do Ave,136.0
651,Fiscalidade,Pós-Laboral,Instituto Politécnico do Cávado e do Ave,126.3
652,Fisiologia Clínica,Diurno,Instituto Politécnico de Castelo Branco,131.4
653,Fisiologia Clínica,Diurno,Instituto Politécnico de Coimbra,147.4
654,Fisiologia Clínica,Diurno,Instituto Politécnico de Lisboa,120.1
655,Fisiologia Clínica,Diurno,Instituto Politécnico do Porto,141.5
656,Fisioterapia,Diurno,Instituto Politécnico de Bragança,131.2
657,Fisioterapia,Diurno,Instituto Politécnico de Castelo Branco,146.1
658,Fisioterapia,Diurno,Instituto Politécnico de Coimbra,152.8
659,Fisioterapia,Diurno,Instituto Politécnico de Leiria,146.6
660,Fisioterapia,Diurno,Instituto Politécnico de Lisboa,117.2
661,Fisioterapia,Diurno,Instituto Politécnico de Portalegre,136.4
662,Fisioterapia,Diurno,Instituto Politécnico de Setúbal,140.6
663,Fisioterapia,Diurno,Instituto Politécnico do Porto,118.5
664,Fisioterapia,Diurno,Universidade de Aveiro,105.8
665,Fisioterapia,Diurno,Universidade do Algarve,134.1
666,Fotografia,Diurno,Instituto Politécnico de Tomar,125.0
667,Fotografia,Diurno,Instituto Politécnico do Porto,120.8
668,Física,Diurno,Universidade de Aveiro,130.3
669,Física,Diurno,Universidade de Coimbra,112.3
670,Física,Diurno,Universidade de Lisboa,150.5
671,Física,Diurno,Universidade do Minho,111.2
672,Física,Diurno,Universidade do Porto,125.0
673,Gastronomia,Diurno,Instituto Politécnico de Coimbra,139.0
674,Gastronomia e Artes Culinárias,Diurno,Instituto Politécnico de Viana do Castelo,115.0
675,Genética e Biotecnologia,Diurno,Universidade de Trás-os-Montes e Alto Douro,130.6
676,Geografia,Diurno,Universidade de Coimbra,125.5
677,Geografia,Diurno,Universidade de Lisboa,129.0
678,Geografia,Diurno,Universidade de Évora,131.9
679,Geografia,Diurno,Universidade do Porto,136.6
680,Geografia e Planeamento,Diurno,Universidade do Minho,138.0
681,Geografia e Planeamento Regional,Diurno,Universidade Nova de Lisboa,134.5
682,Geologia,Diurno,Universidade de Aveiro,125.6
683,Geologia,Diurno,Universidade de Coimbra,111.5
684,Geologia,Diurno,Universidade de Lisboa,129.5
685,Geologia,Diurno,Universidade do Minho,115.2
686,Geologia,Diurno,Universidade do Porto,130.5
687,Gerontologia,Diurno,Instituto Politécnico de Bragança,131.3
688,Gerontologia Social,Diurno,Instituto Politécnico de Coimbra,126.9
689,Gestão,Diurno,ISCTE,115.0
690,Gestão,Diurno,Instituto Politécnico da Guarda,116.5
691,Gestão,Diurno,Instituto Politécnico de Bragança,125.2
692,Gestão,Diurno,Instituto Politécnico de Castelo Branco,102.0
693,Gestão,Diurno,Instituto Politécnico de Coimbra,124.1
694,Gestão,Diurno,Instituto Politécnico de Leiria,116.0
695,Gestão,Diurno,Instituto Politécnico de Lisboa,117.8
696,Gestão,Diurno,Instituto Politécnico de Portalegre,111.3
697,Gestão,Diurno,Instituto Politécnico de Viana do Castelo,125.8
698,Gestão,Diurno,Universidade Nova de Lisboa,139.0
699,Gestão,Diurno,Universidade da Beira Interior,133.4
700,Gestão,Diurno,Universidade da Madeira,147.0
701,Gestão,Diurno,Universidade de Aveiro,114.8
702,Gestão,Diurno,Universidade de Coimbra,169.0
703,Gestão,Diurno,Universidade de Lisboa,119.3
704,Gestão,Diurno,Universidade de Trás-os-Montes e Alto Douro,129.4
705,Gestão,Diurno,Universidade de Évora,143.3
706,Gestão,Diurno,Universidade do Algarve,115.7
707,Gestão,Diurno,Universidade do Minho,115.6
708,Gestão,Diurno,Universidade do Porto,125.5
709,Gestão,Diurno,Universidade dos Açores,111.2
710,Gestão,Noturno,Instituto Politécnico de Viana do Castelo,117.9
711,Gestão,Noturno,Universidade do Algarve,109.7
712,Gestão,Pós-Laboral,Instituto Politécnico de Leiria,127.9
713,Gestão,Pós-Laboral,Instituto Politécnico de Lisboa,147.7
714,Gestão,Pós-Laboral,Instituto Politécnico de Portalegre,129.9
715,Gestão (ensino em Inglês),Diurno,Universidade de Lisboa,125.0
716,Gestão Comercial,Diurno,Instituto Politécnico de Castelo Branco,111.0
717,Gestão Comercial,Diurno,Instituto Politécnico de Viseu,116.2
718,Gestão Comercial,Diurno,Universidade de Aveiro,138.5
719,Gestão Hoteleira,Diurno,Instituto Politécnico da Guarda,120.5
720,Gestão Hoteleira,Diurno,Instituto Politécnico do Cávado e do Ave,121.8
721,Gestão Hoteleira,Diurno,Universidade do Algarve,127.0
722,Gestão Industrial,Diurno,Instituto Politécnico de Viseu,118.8
723,Gestão Industrial e Logística,Diurno,ISCTE,130.0
724,Gestão Industrial e Logística,Diurno,Instituto Politécnico do Porto,138.7
725,Gestão Marinha e Costeira,Diurno,Universidade do Algarve,108.4
726,Gestão Portuária,Diurno,Escola Superior Náutica Infante D. Henrique,137.8
727,Gestão Pública,Diurno,Instituto Politécnico do Cávado e do Ave,117.8
728,Gestão Pública,Diurno,Universidade de Aveiro,137.6
729,Gestão Sustentável das Cidades,Diurno,Instituto Politécnico de Coimbra,115.5
730,Gestão Turística,Diurno,Escola Superior de Hotelaria e Turismo do Estoril,117.6
731,Gestão Turística,Pós-Laboral,Escola Superior de Hotelaria e Turismo do Estoril,125.6
732,Gestão Turística e Hoteleira,Diurno,Instituto Politécnico de Leiria,118.1
733,"Gestão Turística, Cultural e Patrimonial",Diurno,Instituto Politécnico de Viseu,120.8
734,Gestão da Distribuição e Logística,Diurno,Instituto Politécnico de Viana do Castelo,108.0
735,Gestão da Distribuição e da Logística,Diurno,Instituto Politécnico de Setúbal,136.4
736,Gestão da Distribuição e da Logística,Pós-Laboral,Instituto Politécnico de Setúbal,121.0
737,Gestão da Qualidade,Diurno,Universidade de Aveiro,135.3
738,Gestão da Restauração e Catering,Diurno,Instituto Politécnico de Leiria,107.6
739,Gestão da Restauração e Catering,Diurno,Instituto Politécnico do Porto,131.6
740,Gestão das Atividades Turísticas,Diurno,Instituto Politécnico do Porto,140.5
741,Gestão das Atividades Turísticas,Pós-Laboral,Instituto Politécnico do Porto,109.0
742,Gestão das Organizações Desportivas,Diurno,Instituto Politécnico de Santarém,121.0
743,Gestão de Atividades Turísticas,Diurno,Instituto Politécnico do Cávado e do Ave,131.1
744,Gestão de Atividades Turísticas,Pós-Laboral,Instituto Politécnico do Cávado e do Ave,110.0
745,Gestão de Cidades Sustentáveis e Inteligentes,Diurno,Universidade de Coimbra,113.0
746,Gestão de Empresas,Diurno,Instituto Politécnico de Beja,126.7
747,Gestão de Empresas,Diurno,Instituto Politécnico de Coimbra,122.7
748,Gestão de Empresas,Diurno,Instituto Politécnico de Santarém,126.7
749,Gestão de Empresas,Diurno,Instituto Politécnico de Tomar,110.0
750,Gestão de Empresas,Diurno,Instituto Politécnico de Viseu,119.9
751,Gestão de Empresas,Diurno,Instituto Politécnico do Cávado e do Ave,124.7
752,Gestão de Empresas,Diurno,Universidade do Algarve,122.0
753,Gestão de Empresas,Pós-Laboral,Instituto Politécnico de Beja,116.1
754,Gestão de Empresas,Pós-Laboral,Instituto Politécnico de Santarém,105.0
755,Gestão de Empresas,Pós-Laboral,Instituto Politécnico de Viseu,108.7
756,Gestão de Empresas,Pós-Laboral,Instituto Politécnico do Cávado e do Ave,150.4
757,Gestão de Eventos,Diurno,Instituto Politécnico de Leiria,113.0
758,Gestão de Informação,Diurno,Universidade Nova de Lisboa,154.6
759,Gestão de Marketing,Diurno,ISCTE,160.0
760,Gestão de Marketing,Diurno,Instituto Politécnico de Santarém,106.0
761,"Gestão de Negócios Internacionais (Curso Europeu, ensino em Inglês)",Diurno,Instituto Politécnico de Bragança,121.4
762,Gestão de Recursos Humanos,Diurno,ISCTE,117.5
763,Gestão de Recursos Humanos,Diurno,Instituto Politécnico da Guarda,109.7
764,Gestão de Recursos Humanos,Diurno,Instituto Politécnico de Setúbal,115.7
765,Gestão de Recursos Humanos,Diurno,Universidade de Lisboa,154.0
766,Gestão de Recursos Humanos,Pós-Laboral,Instituto Politécnico de Setúbal,123.7
767,Gestão de Recursos Humanos,Pós-Laboral,Universidade de Lisboa,137.0
768,Gestão de Recursos Humanos e Comportamento Organizacional,Diurno,Instituto Politécnico de Tomar,115.0
769,Gestão de Sistemas de Informação,Diurno,Instituto Politécnico de Setúbal,122.0
770,Gestão de Transportes e Logística,Diurno,Escola Superior Náutica Infante D. Henrique,138.1
771,Gestão do Desporto,Diurno,Universidade de Lisboa,122.0
772,Gestão do Lazer e Animação Turística,Diurno,Escola Superior de Hotelaria e Turismo do Estoril,142.4
773,Gestão do Lazer e Animação Turística,Pós-Laboral,Escola Superior de Hotelaria e Turismo do Estoril,117.4
774,Gestão do Património Cultural,Diurno,Instituto Politécnico do Porto,124.5
775,Gestão do Território,Diurno,Instituto Politécnico de Coimbra,110.7
776,Gestão do Turismo e da Hospitalidade,Diurno,Instituto Politécnico da Guarda,123.4
777,Gestão e Administração Hoteleira,Diurno,Instituto Politécnico do Porto,119.7
778,Gestão e Administração Pública,Diurno,Instituto Politécnico de Bragança,100.0
779,Gestão e Biociências,Diurno,Instituto Politécnico de Coimbra,118.4
780,Gestão e Informática,Diurno,Instituto Politécnico de Viseu,122.5
781,Gestão e Planeamento em Turismo,Diurno,Universidade de Aveiro,142.6
782,Guias de Natureza e Património,Diurno,Universidade dos Açores,120.3
783,Higiene Oral,Diurno,Instituto Politécnico de Portalegre,127.4
784,Higiene Oral,Diurno,Universidade de Lisboa,146.8
785,História,Diurno,Universidade Nova de Lisboa,111.5
786,História,Diurno,Universidade de Coimbra,123.0
787,História,Diurno,Universidade de Lisboa,139.0
788,História,Diurno,Universidade do Minho,124.8
789,História,Diurno,Universidade do Porto,137.0
790,História,Diurno,Universidade dos Açores,135.1
791,História Moderna e Contemporânea,Diurno,ISCTE,121.5
792,História da Arte,Diurno,Universidade Nova de Lisboa,131.0
